/	0	0.00016	0.00011	0.00016	0.00022	0.00009	0.00011	0.00015	0.00015	0.00009	0.00009	0.00011	0.00016	0.00009	0.00006	0.00007	0.00015	0.00005	0.00006	0.00012	0.00026	0.00010	0.00007	0.00002	0.00005	0.00007	0.00012	0.00012	0.00016	0.00004	0.00009	0.00015	0.00011	0.00021	0.00012	0.00018	0.00015	0.00014	0.00020	0.00018	0.00017	0.00020	0.00010	0.00023	0.00022	0.00025	0.00017	0.00027	0.00023	0.00023	0.00048	0.00032	0.00042	0.00039	0.00028	0.00034	0.00030	0.00044	0.00036	0.00030	0.00020	0.00030	0.00032	0.00027	0.00037	0.00039	0.00026	0.00027	0.00042	0.00025	0.00022	0.00030	0.00027	0.00031	0.00014	0	
=	0.01185	0.01557	0.01516	0.01476	0.01449	0.01401	0.01389	0.01364	0.01394	0.01325	0.01202	0.01283	0.01277	0.01357	0.01383	0.01361	0.01364	0.01405	0.01457	0.01432	0.01406	0.01439	0.01468	0.01504	0.01509	0.01484	0.01491	0.01474	0.01640	0.01701	0.01567	0.01568	0.01614	0.01814	0.01727	0.01743	0.01800	0.01893	0.01844	0.01925	0.01899	0.02091	0.01955	0.02129	0.02148	0.02127	0.02232	0.02415	0.02507	0.02619	0.02818	0.02911	0.02848	0.02866	0.02856	0.02998	0.03043	0.03141	0.03072	0.03077	0.03068	0.03248	0.03228	0.03388	0.03501	0.03508	0.03700	0.03581	0.03757	0.03836	0.03778	0.03772	0.04028	0.04101	0.04037	0.04788	
7	0.00034	0.00062	0.00062	0.00069	0.00057	0.00054	0.00043	0.00059	0.00057	0.00049	0.00031	0.00062	0.00054	0.00039	0.00046	0.00047	0.00053	0.00058	0.00071	0.00057	0.00062	0.00066	0.00063	0.00066	0.00060	0.00068	0.00073	0.00063	0.00060	0.00079	0.00076	0.00070	0.00063	0.00062	0.00082	0.00087	0.00107	0.00064	0.00082	0.00090	0.00087	0.00086	0.00089	0.00095	0.00096	0.00112	0.00093	0.00119	0.00093	0.00135	0.00124	0.00124	0.00135	0.00121	0.00137	0.00141	0.00138	0.00138	0.00125	0.00155	0.00111	0.00111	0.00130	0.00102	0.00162	0.00092	0.00125	0.00133	0.00128	0.00132	0.00121	0.00123	0.00130	0.00141	0.00154	0.00154	
,	0.00010	0.00038	0.00036	0.00044	0.00060	0.00062	0.00048	0.00048	0.00033	0.00031	0.00046	0.00046	0.00057	0.00048	0.00041	0.00052	0.00044	0.00050	0.00034	0.00047	0.00052	0.00046	0.00044	0.00053	0.00044	0.00060	0.00071	0.00066	0.00070	0.00071	0.00073	0.00080	0.00086	0.00087	0.00089	0.00109	0.00079	0.00103	0.00076	0.00114	0.00103	0.00117	0.00124	0.00146	0.00151	0.00166	0.00151	0.00155	0.00165	0.00186	0.00213	0.00260	0.00234	0.00223	0.00214	0.00224	0.00230	0.00201	0.00202	0.00192	0.00197	0.00214	0.00197	0.00217	0.00220	0.00240	0.00242	0.00236	0.00213	0.00220	0.00203	0.00225	0.00258	0.00236	0.00167	0	
2	0	0.00025	0.00032	0.00038	0.00032	0.00048	0.00038	0.00031	0.00026	0.00026	0.00037	0.00030	0.00027	0.00037	0.00021	0.00039	0.00046	0.00034	0.00037	0.00032	0.00036	0.00041	0.00033	0.00022	0.00030	0.00039	0.00031	0.00047	0.00030	0.00042	0.00062	0.00049	0.00048	0.00057	0.00031	0.00069	0.00048	0.00036	0.00047	0.00054	0.00081	0.00054	0.00068	0.00062	0.00060	0.00081	0.00084	0.00066	0.00069	0.00078	0.00109	0.00093	0.00087	0.00080	0.00081	0.00093	0.00097	0.00085	0.00064	0.00078	0.00070	0.00090	0.00085	0.00084	0.00069	0.00105	0.00093	0.00090	0.00080	0.00092	0.00086	0.00078	0.00066	0.00085	0.00085	0.00134	
E	0.09075	0.09033	0.08892	0.09050	0.08995	0.08965	0.09259	0.09150	0.09380	0.09502	0.09278	0.09551	0.09471	0.09727	0.09790	0.09540	0.09765	0.09940	0.10036	0.10030	0.09861	0.09958	0.10239	0.10369	0.10293	0.10504	0.10761	0.11332	0.11501	0.11393	0.11397	0.12037	0.12430	0.12621	0.12802	0.12479	0.13308	0.13175	0.13517	0.13671	0.13999	0.14298	0.14238	0.14495	0.14942	0.15063	0.15478	0.15474	0.15774	0.16899	0.16911	0.17513	0.17574	0.17401	0.17876	0.17903	0.17949	0.17986	0.17781	0.17679	0.17942	0.17673	0.18288	0.18119	0.18199	0.18422	0.18579	0.18681	0.18609	0.18572	0.18334	0.18417	0.18425	0.18188	0.18032	0.15741	
1	0	0.00020	0.00022	0.00028	0.00026	0.00014	0.00012	0.00017	0.00021	0.00017	0.00018	0.00026	0.00022	0.00016	0.00017	0.00028	0.00020	0.00016	0.00011	0.00018	0.00020	0.00021	0.00009	0.00022	0.00022	0.00018	0.00026	0.00021	0.00031	0.00022	0.00025	0.00032	0.00034	0.00031	0.00033	0.00037	0.00044	0.00039	0.00042	0.00034	0.00049	0.00052	0.00047	0.00038	0.00049	0.00059	0.00065	0.00050	0.00052	0.00050	0.00084	0.00073	0.00058	0.00062	0.00038	0.00082	0.00055	0.00068	0.00052	0.00042	0.00060	0.00043	0.00049	0.00049	0.00042	0.00049	0.00059	0.00053	0.00053	0.00057	0.00043	0.00047	0.00036	0.00063	0.00059	0.00087	
<	0.00041	0.00112	0.00089	0.00074	0.00079	0.00070	0.00091	0.00113	0.00092	0.00071	0.00060	0.00066	0.00065	0.00089	0.00096	0.00069	0.00066	0.00111	0.00087	0.00087	0.00078	0.00098	0.00089	0.00071	0.00093	0.00079	0.00087	0.00100	0.00093	0.00090	0.00098	0.00111	0.00116	0.00127	0.00129	0.00124	0.00133	0.00125	0.00138	0.00135	0.00133	0.00119	0.00167	0.00132	0.00160	0.00143	0.00166	0.00178	0.00188	0.00166	0.00210	0.00210	0.00251	0.00237	0.00261	0.00223	0.00223	0.00220	0.00244	0.00253	0.00205	0.00260	0.00257	0.00277	0.00269	0.00245	0.00253	0.00293	0.00262	0.00283	0.00309	0.00331	0.00290	0.00336	0.00322	0.00235	
>	0.00308	0.00459	0.00375	0.00459	0.00432	0.00467	0.00465	0.00440	0.00428	0.00410	0.00448	0.00408	0.00429	0.00438	0.00415	0.00455	0.00445	0.00407	0.00402	0.00396	0.00421	0.00392	0.00407	0.00426	0.00399	0.00460	0.00437	0.00431	0.00427	0.00401	0.00429	0.00413	0.00458	0.00447	0.00444	0.00515	0.00487	0.00503	0.00502	0.00502	0.00519	0.00504	0.00555	0.00529	0.00522	0.00613	0.00589	0.00593	0.00626	0.00638	0.00646	0.00722	0.00761	0.00790	0.00825	0.00742	0.00777	0.00789	0.00812	0.00868	0.00775	0.00795	0.00793	0.00830	0.00814	0.00723	0.00829	0.00881	0.00892	0.00882	0.00749	0.00886	0.00918	0.00918	0.00916	0.00646	
B	0.01629	0.02329	0.02276	0.02264	0.02304	0.02288	0.02255	0.02163	0.02223	0.02283	0.02032	0.02145	0.02368	0.02433	0.02394	0.02211	0.02279	0.02385	0.02368	0.02543	0.02540	0.02645	0.02612	0.02548	0.02783	0.02710	0.02729	0.03010	0.03197	0.03281	0.03261	0.03453	0.03620	0.03694	0.03727	0.03722	0.04124	0.04149	0.04373	0.04366	0.04512	0.04671	0.04708	0.05057	0.05159	0.05364	0.05474	0.06036	0.06125	0.06535	0.06959	0.07230	0.07107	0.07201	0.07375	0.07502	0.07590	0.07693	0.07761	0.07845	0.07768	0.08069	0.08114	0.08352	0.08535	0.08710	0.08781	0.09037	0.09215	0.09258	0.09480	0.09745	0.09843	0.09973	0.10234	0.09801	
