/	282	1919	1842	2644	2032	1860	2347	2036	2601	2585	2683	2955	2886	3299	3397	3804	3980	4624	4683	5359	5732	6049	6639	7517	6854	7586	8468	8631	10093	8749	9044	9740	10376	10939	12190	13084	13739	14965	16757	17197	18411	19925	19366	21069	21752	22465	23333	24631	26203	26123	28075	29462	31108	36641	37817	37893	37892	37849	39678	42089	44113	45675	46749	50961	54758	54894	56954	59341	67112	66741	71512	69021	64824	57701	75009	0	
=	10289	56981	68026	72660	97731	88202	101819	98969	111262	126746	136780	149370	141502	153912	165426	160062	188854	180844	203457	198205	216123	219500	229364	245317	253030	279167	292311	292118	330408	323882	346661	345816	350273	380842	383050	412531	414468	413936	432257	426984	454412	456652	487412	498310	504574	518328	532372	548830	555217	540939	564913	562443	581237	583122	569763	582329	573794	582958	575561	577634	568411	557414	572660	565416	569878	563045	550133	548697	524755	521875	507737	498808	495377	481542	386262	388401	
:	4129	9120	13459	13885	18698	15527	18423	18336	22120	25080	26552	25277	28043	28428	34384	32738	42541	39806	46976	45076	50580	53207	61662	60512	67031	70636	82908	82905	92435	93597	95499	100440	107356	117578	122835	131092	139560	146260	156433	158340	168977	174362	181042	193273	205719	208734	225047	228511	242042	241117	252311	264677	270091	296410	293107	302029	301804	299067	306894	305071	315724	317183	328030	339261	345004	352280	359725	362507	367783	364772	369790	366350	369102	341367	426730	318708	
7	3426	6204	8037	9354	10583	10119	11448	11190	13188	15347	16132	17512	17484	19076	20964	22872	24730	27513	28991	31159	33107	35470	39748	40883	43610	46882	52645	53281	60551	59678	62649	65410	68706	74672	80673	86814	91039	96257	103573	105490	113002	118358	123115	132386	139315	141923	151434	157160	167242	164882	176644	181971	191720	210605	210664	216496	214582	217628	221056	226701	231795	234748	244192	257081	267329	274369	280274	291817	300369	303260	310095	311330	314328	286118	416487	284968	
*	1374	2293	2047	4774	2080	1386	1362	1301	3517	3898	1469	1542	1712	2622	1747	3764	1832	5004	2173	2316	2460	3018	3255	3417	2743	3655	3496	4981	3900	3470	3603	3753	3950	4173	5205	4910	5128	5355	5890	6971	6288	6740	6571	6805	7083	7709	7688	8189	8078	8948	8667	8948	9797	10347	14260	12395	11747	11682	11767	12951	13256	13476	13871	14345	15403	15530	15416	15823	18150	17393	17038	16311	12750	11438	5384	0	
,	340	1862	1609	2816	1713	1317	1966	1453	2559	2583	1762	2080	2075	2731	2263	3246	2627	4150	3064	3568	3997	4311	4518	5435	4656	5400	5717	6128	6548	5741	6056	6592	6819	7210	8151	8710	9164	9573	11031	11700	11814	13069	12853	13730	14288	14840	15073	16194	16945	17190	18113	18739	20056	23267	24895	25078	24073	24564	24601	27282	26988	27862	28705	30650	33394	33124	33040	34859	39114	39172	40054	37901	33423	29392	31896	0	
2	864	2642	3121	3729	3802	3508	3761	3939	4768	5264	5845	6270	6490	6966	7449	8048	8677	9865	10268	11237	12560	12942	14518	14988	15620	16553	18658	18759	20962	20476	21286	22978	23952	25786	28336	30146	32294	34084	38170	39344	41629	45090	45204	48796	51380	51523	55321	56931	61540	62193	65114	68610	72024	83100	84309	85289	84306	85572	88309	90688	93725	95508	100466	108360	116341	117243	122579	126966	140941	140016	148861	146391	143220	129083	184662	139836	
-	542	926	990	1736	1129	973	1056	1044	1668	1731	1449	1496	1644	1968	1789	2601	2082	3230	2470	2868	3196	3580	3793	4086	4069	4507	5074	5444	5570	5599	5588	6052	6498	6786	7848	8314	8599	9822	11048	11658	12143	13482	12642	13436	13808	14348	14682	15357	16023	16877	17714	18566	19555	22471	24470	23973	24502	24760	25733	28372	29555	30226	30528	32654	34506	34623	35771	37111	41904	41363	42883	41070	36624	32666	35368	0	
1	877	3652	3634	4819	4253	3928	4999	4275	5252	5338	5698	6255	6157	6811	6978	7472	8400	9419	10085	10842	11942	12452	13677	14760	14805	16034	17394	17313	20649	18122	19093	20148	21693	23090	25203	27299	29503	30516	34754	35790	38407	41886	41997	47081	48302	50226	52833	55149	58988	58714	63833	66569	70534	82777	82263	83435	81812	83531	84341	88317	90790	91690	97161	104586	114537	115783	117674	124903	139106	141721	148693	146496	143568	127598	174021	0	
0	474	1839	2057	2522	2212	2059	2296	2277	2885	3244	3429	3715	3772	4164	4325	4867	5074	5947	6096	6690	7585	7942	8567	8964	9255	10084	10974	11267	12810	12453	13072	13820	14341	15405	17123	18194	19369	20758	23088	23857	25102	27033	26582	28340	29329	29787	30669	32590	34215	34832	36320	38380	40579	45262	47184	47340	47850	48791	49360	52814	53947	54748	56679	59978	64202	64750	65781	69169	75651	76321	78756	77130	73641	66859	92594	0	
C	0	1933100	1694743	1517010	1401589	1342383	1396293	1370128	1256148	1104184	1148997	1102826	1192123	1020618	1059320	1108118	1005021	1024321	904310	936140	825983	830667	830376	711359	733074	637013	639821	655592	586352	584059	523752	534990	527622	479415	472703	431551	427338	427304	389258	381542	344363	333696	295991	286098	281155	260016	257263	237668	229572	231009	214038	206116	189040	174827	167868	156409	161570	151485	144247	134325	126981	121867	111870	102822	93667	91779	90231	81942	76535	68659	63349	61083	56913	60223	23677	111576	
.	504	1741	1786	2523	2044	1830	1918	1987	2510	2855	2536	2685	2947	3170	3292	3861	3905	4763	4631	5107	5593	6055	6562	7287	6965	7607	8573	9085	9762	9703	9820	10507	11397	11991	13279	14123	15193	16372	18403	18840	19916	21315	20931	21968	22663	23355	24066	25406	26690	26716	28837	29536	31355	36026	37204	37753	37456	37863	38925	41977	42797	43353	44552	46293	50730	50749	50574	53789	58676	59222	60788	57496	53433	47536	56950	0	
@	264249	254290	273429	288213	335431	326617	311782	341819	350355	416251	448268	472055	420528	444428	449239	474712	472031	487260	492602	506273	506313	525618	535405	563733	585649	596526	616557	629207	650083	658286	666504	673978	698524	696984	709309	724252	724535	740541	721129	738418	733460	747069	741731	760393	759054	749862	753895	756320	757100	745605	749803	739067	731518	703799	700772	687591	700176	681635	683497	670457	657043	654976	630007	616846	588716	577212	559214	541170	504503	484466	466848	458266	438744	443290	281420	420468	
;	6757	27611	34830	35731	45773	39265	44834	42321	47808	51357	56202	57966	56269	59021	64509	64368	75025	70717	79473	78671	83437	87893	92165	94749	100879	107405	117657	116048	131733	126724	133479	135117	141364	153948	159992	172219	175548	182430	189687	190620	202497	206747	216115	228565	240007	245591	261841	265399	283846	277304	294268	298301	307797	325149	327876	332712	332959	329728	333129	333469	335517	339276	346923	358285	358617	367545	371785	376440	373896	374672	372500	368945	371543	351992	358396	299249	
<	12872	23254	37530	33570	45881	35828	35470	43226	50562	58893	64217	61622	62077	61693	74841	72820	87144	79089	90695	86074	90905	96805	106649	105529	115186	119287	136028	132744	152938	149187	153198	156386	162223	176567	181219	194975	197760	205496	212129	214029	223795	228972	236586	248817	257979	260732	273539	278872	292783	287524	299392	305361	310709	330243	324367	333315	331782	329318	336995	334169	339491	338549	345096	348094	351578	352339	356598	356418	353217	347585	349480	344217	345539	328074	351634	281009	
A	1041214	934205	1048318	1093183	1187145	1233651	1176954	1290282	1321561	1490505	1502308	1554787	1425423	1526863	1499433	1477649	1513188	1468406	1538595	1496041	1552986	1522087	1509927	1600946	1575450	1650552	1607438	1599633	1649104	1631122	1673295	1639360	1601838	1629324	1573481	1605245	1563302	1522925	1523797	1486241	1492368	1458321	1475902	1424117	1388276	1363817	1331282	1320781	1271828	1230952	1218334	1182777	1149703	1066715	1029407	1019248	1010861	1001120	970633	945263	909190	877612	843419	793505	753599	717149	685920	642225	582864	553439	524466	500884	473739	494883	219200	401325	
