/	0	59	67	69	72	43	73	48	59	41	58	56	53	55	41	70	53	73	57	47	44	53	65	67	56	77	67	71	77	81	82	95	81	62	79	106	104	102	99	107	120	101	128	116	103	149	126	127	140	142	218	215	207	221	150	209	222	217	189	188	206	157	202	171	188	214	193	153	152	176	171	171	139	116	94	0	
=	5902	7531	8813	8902	7566	7069	7275	8512	8292	7423	6968	7344	7660	7790	7770	7640	7877	8116	8245	8464	7984	8639	8982	9314	9350	8655	9421	9091	9216	9552	9197	9534	10019	10109	10188	10057	10844	11393	11097	11558	11231	11384	11670	12721	12127	11916	12835	14200	14550	14187	14052	14469	16227	16838	15032	14845	15519	16293	16961	16503	16192	16941	17459	18116	18323	18118	19343	19355	19205	19811	20142	20029	20121	20252	20354	27768	
7	146	270	268	286	283	229	269	224	243	259	248	271	269	278	332	278	263	294	298	287	292	348	320	360	344	334	349	384	369	359	371	372	343	353	345	416	421	417	396	469	466	431	467	521	505	503	554	591	572	577	690	711	774	743	621	657	677	805	760	755	656	726	673	773	766	703	718	635	687	683	732	688	701	694	736	725	
,	38	131	209	295	244	283	317	378	291	210	324	307	268	293	264	352	281	290	317	289	352	324	395	421	376	473	425	473	439	485	579	493	558	545	566	613	730	759	637	688	845	732	750	859	791	874	924	1070	1174	1074	1243	1153	1642	1617	1132	1244	1226	1303	1365	1229	1224	1206	1301	1429	1346	1308	1504	1361	1370	1317	1270	1310	1299	1271	823	0	
2	0	107	156	155	209	183	159	169	164	142	202	209	179	176	163	221	204	176	162	182	246	197	187	182	204	252	231	236	210	223	299	240	250	208	211	385	315	279	290	272	420	322	328	336	318	434	374	396	381	384	530	498	585	513	419	550	557	525	507	469	537	456	474	468	502	588	477	456	455	501	533	489	442	436	453	744	
E	50073	49068	48585	48324	49648	49264	50866	49736	50386	52401	51421	52903	53942	54383	54145	52237	53652	54340	54885	55282	54080	54926	55641	56066	56674	57011	58497	61242	62578	64074	63749	64921	65948	65363	65939	67998	69370	69738	69327	73135	72642	71939	73893	75705	75867	74677	75193	77436	78686	78936	80788	84493	86891	85096	82680	84933	86756	88000	86509	86609	86416	86935	88006	88749	87481	87314	86206	84719	85171	85750	85670	84437	83626	82931	82068	67815	
1	0	74	93	119	123	114	114	117	90	105	120	109	101	88	101	111	100	104	103	103	106	120	132	136	145	156	178	148	150	156	204	181	163	154	159	257	228	174	172	209	276	233	223	242	219	315	247	269	258	256	417	360	395	379	271	380	356	330	352	323	357	329	316	316	313	360	317	288	271	299	299	245	235	233	247	500	
<	161	474	402	424	359	319	406	482	430	417	355	391	409	423	456	394	420	469	441	485	423	445	467	543	507	478	503	576	611	605	482	539	573	551	558	591	683	711	666	708	643	720	829	908	957	787	902	1047	1011	1086	1113	1307	1302	1415	1234	1235	1412	1473	1542	1543	1212	1353	1478	1651	1577	1378	1488	1424	1594	1770	1400	1412	1503	1466	1630	1083	
>	1498	2286	2068	1991	2188	2252	2162	2187	2260	2171	2318	2147	2157	2247	2201	2190	2208	2235	2234	2176	2410	2390	2359	2280	2232	2472	2421	2502	2544	2531	2349	2445	2355	2485	2430	2619	2690	2738	2717	2809	2860	2944	3225	3308	3129	3237	3418	3552	3693	3657	3701	4235	4319	4214	4272	4096	4511	4842	4790	4976	3908	4321	4576	4806	4796	4017	4469	4645	4852	5242	3956	4304	4560	4390	4503	3349	
B	8865	11742	12689	13548	12107	11671	12467	13494	13250	12606	11964	12770	12934	13634	13113	13035	13313	13791	13984	14624	14008	14778	15225	15879	16013	16022	16847	18455	18373	19369	19687	20093	20813	20885	21258	22473	23499	24116	23448	26247	25945	25588	26790	28933	28239	28158	29112	32349	32633	32744	34422	36141	39198	38395	36209	37092	38733	40267	40450	40446	40469	41026	42455	43690	44006	43803	44306	43648	44839	46507	46881	47106	47394	47490	48412	45185	
