/	0.00003	0.00023	0.00022	0.00032	0.00025	0.00023	0.00029	0.00025	0.00032	0.00031	0.00033	0.00036	0.00035	0.00040	0.00041	0.00046	0.00048	0.00056	0.00057	0.00065	0.00070	0.00074	0.00081	0.00091	0.00083	0.00092	0.00103	0.00105	0.00123	0.00106	0.00110	0.00118	0.00126	0.00133	0.00148	0.00159	0.00167	0.00182	0.00204	0.00209	0.00224	0.00242	0.00236	0.00256	0.00265	0.00273	0.00284	0.00300	0.00319	0.00318	0.00342	0.00358	0.00378	0.00446	0.00460	0.00461	0.00461	0.00460	0.00483	0.00512	0.00537	0.00556	0.00569	0.00620	0.00666	0.00668	0.00693	0.00722	0.00816	0.00812	0.00870	0.00840	0.00789	0.00702	0.00912	0	
=	0.00125	0.00693	0.00828	0.00884	0.01189	0.01073	0.01239	0.01204	0.01353	0.01542	0.01664	0.01817	0.01721	0.01872	0.02012	0.01947	0.02297	0.02200	0.02475	0.02411	0.02629	0.02670	0.02790	0.02984	0.03078	0.03396	0.03556	0.03554	0.04019	0.03940	0.04217	0.04207	0.04261	0.04633	0.04660	0.05018	0.05042	0.05036	0.05258	0.05194	0.05528	0.05555	0.05929	0.06062	0.06138	0.06305	0.06476	0.06676	0.06754	0.06580	0.06872	0.06842	0.07071	0.07094	0.06931	0.07084	0.06980	0.07092	0.07002	0.07027	0.06915	0.06781	0.06966	0.06878	0.06933	0.06849	0.06692	0.06675	0.06384	0.06349	0.06177	0.06068	0.06026	0.05858	0.04699	0.04725	
:	0.00050	0.00111	0.00164	0.00169	0.00227	0.00189	0.00224	0.00223	0.00269	0.00305	0.00323	0.00307	0.00341	0.00346	0.00418	0.00398	0.00518	0.00484	0.00571	0.00548	0.00615	0.00647	0.00750	0.00736	0.00815	0.00859	0.01009	0.01009	0.01124	0.01139	0.01162	0.01222	0.01306	0.01430	0.01494	0.01595	0.01698	0.01779	0.01903	0.01926	0.02056	0.02121	0.02202	0.02351	0.02503	0.02539	0.02738	0.02780	0.02944	0.02933	0.03069	0.03220	0.03286	0.03606	0.03566	0.03674	0.03671	0.03638	0.03733	0.03711	0.03841	0.03859	0.03990	0.04127	0.04197	0.04285	0.04376	0.04410	0.04474	0.04437	0.04498	0.04457	0.04490	0.04153	0.05191	0.03877	
7	0.00042	0.00075	0.00098	0.00114	0.00129	0.00123	0.00139	0.00136	0.00160	0.00187	0.00196	0.00213	0.00213	0.00232	0.00255	0.00278	0.00301	0.00335	0.00353	0.00379	0.00403	0.00431	0.00484	0.00497	0.00531	0.00570	0.00640	0.00648	0.00737	0.00726	0.00762	0.00796	0.00836	0.00908	0.00981	0.01056	0.01107	0.01171	0.01260	0.01283	0.01375	0.01440	0.01498	0.01610	0.01695	0.01726	0.01842	0.01912	0.02034	0.02006	0.02149	0.02214	0.02332	0.02562	0.02563	0.02634	0.02610	0.02647	0.02689	0.02758	0.02820	0.02856	0.02971	0.03127	0.03252	0.03338	0.03410	0.03550	0.03654	0.03689	0.03772	0.03787	0.03824	0.03481	0.05067	0.03467	
*	0.00017	0.00028	0.00025	0.00058	0.00025	0.00017	0.00017	0.00016	0.00043	0.00047	0.00018	0.00019	0.00021	0.00032	0.00021	0.00046	0.00022	0.00061	0.00026	0.00028	0.00030	0.00037	0.00040	0.00042	0.00033	0.00044	0.00043	0.00061	0.00047	0.00042	0.00044	0.00046	0.00048	0.00051	0.00063	0.00060	0.00062	0.00065	0.00072	0.00085	0.00076	0.00082	0.00080	0.00083	0.00086	0.00094	0.00094	0.00100	0.00098	0.00109	0.00105	0.00109	0.00119	0.00126	0.00173	0.00151	0.00143	0.00142	0.00143	0.00158	0.00161	0.00164	0.00169	0.00175	0.00187	0.00189	0.00188	0.00192	0.00221	0.00212	0.00207	0.00198	0.00155	0.00139	0.00065	0	
,	0.00004	0.00023	0.00020	0.00034	0.00021	0.00016	0.00024	0.00018	0.00031	0.00031	0.00021	0.00025	0.00025	0.00033	0.00028	0.00039	0.00032	0.00050	0.00037	0.00043	0.00049	0.00052	0.00055	0.00066	0.00057	0.00066	0.00070	0.00075	0.00080	0.00070	0.00074	0.00080	0.00083	0.00088	0.00099	0.00106	0.00111	0.00116	0.00134	0.00142	0.00144	0.00159	0.00156	0.00167	0.00174	0.00181	0.00183	0.00197	0.00206	0.00209	0.00220	0.00228	0.00244	0.00283	0.00303	0.00305	0.00293	0.00299	0.00299	0.00332	0.00328	0.00339	0.00349	0.00373	0.00406	0.00403	0.00402	0.00424	0.00476	0.00477	0.00487	0.00461	0.00407	0.00358	0.00388	0	
2	0.00011	0.00032	0.00038	0.00045	0.00046	0.00043	0.00046	0.00048	0.00058	0.00064	0.00071	0.00076	0.00079	0.00085	0.00091	0.00098	0.00106	0.00120	0.00125	0.00137	0.00153	0.00157	0.00177	0.00182	0.00190	0.00201	0.00227	0.00228	0.00255	0.00249	0.00259	0.00280	0.00291	0.00314	0.00345	0.00367	0.00393	0.00415	0.00464	0.00479	0.00506	0.00549	0.00550	0.00594	0.00625	0.00627	0.00673	0.00693	0.00749	0.00757	0.00792	0.00835	0.00876	0.01011	0.01026	0.01038	0.01026	0.01041	0.01074	0.01103	0.01140	0.01162	0.01222	0.01318	0.01415	0.01426	0.01491	0.01545	0.01715	0.01703	0.01811	0.01781	0.01742	0.01570	0.02246	0.01701	
-	0.00007	0.00011	0.00012	0.00021	0.00014	0.00012	0.00013	0.00013	0.00020	0.00021	0.00018	0.00018	0.00020	0.00024	0.00022	0.00032	0.00025	0.00039	0.00030	0.00035	0.00039	0.00044	0.00046	0.00050	0.00049	0.00055	0.00062	0.00066	0.00068	0.00068	0.00068	0.00074	0.00079	0.00083	0.00095	0.00101	0.00105	0.00119	0.00134	0.00142	0.00148	0.00164	0.00154	0.00163	0.00168	0.00175	0.00179	0.00187	0.00195	0.00205	0.00215	0.00226	0.00238	0.00273	0.00298	0.00292	0.00298	0.00301	0.00313	0.00345	0.00360	0.00368	0.00371	0.00397	0.00420	0.00421	0.00435	0.00451	0.00510	0.00503	0.00522	0.00500	0.00446	0.00397	0.00430	0	
1	0.00011	0.00044	0.00044	0.00059	0.00052	0.00048	0.00061	0.00052	0.00064	0.00065	0.00069	0.00076	0.00075	0.00083	0.00085	0.00091	0.00102	0.00115	0.00123	0.00132	0.00145	0.00151	0.00166	0.00180	0.00180	0.00195	0.00212	0.00211	0.00251	0.00220	0.00232	0.00245	0.00264	0.00281	0.00307	0.00332	0.00359	0.00371	0.00423	0.00435	0.00467	0.00510	0.00511	0.00573	0.00588	0.00611	0.00643	0.00671	0.00718	0.00714	0.00777	0.00810	0.00858	0.01007	0.01001	0.01015	0.00995	0.01016	0.01026	0.01074	0.01104	0.01115	0.01182	0.01272	0.01393	0.01408	0.01431	0.01519	0.01692	0.01724	0.01809	0.01782	0.01746	0.01552	0.02117	0	
0	0.00006	0.00022	0.00025	0.00031	0.00027	0.00025	0.00028	0.00028	0.00035	0.00039	0.00042	0.00045	0.00046	0.00051	0.00053	0.00059	0.00062	0.00072	0.00074	0.00081	0.00092	0.00097	0.00104	0.00109	0.00113	0.00123	0.00133	0.00137	0.00156	0.00151	0.00159	0.00168	0.00174	0.00187	0.00208	0.00221	0.00236	0.00253	0.00281	0.00290	0.00305	0.00329	0.00323	0.00345	0.00357	0.00362	0.00373	0.00396	0.00416	0.00424	0.00442	0.00467	0.00494	0.00551	0.00574	0.00576	0.00582	0.00594	0.00600	0.00642	0.00656	0.00666	0.00689	0.00730	0.00781	0.00788	0.00800	0.00841	0.00920	0.00928	0.00958	0.00938	0.00896	0.00813	0.01126	0	
C	0	0.23516	0.20616	0.18454	0.17050	0.16330	0.16986	0.16668	0.15281	0.13432	0.13977	0.13416	0.14502	0.12416	0.12887	0.13480	0.12226	0.12461	0.11001	0.11388	0.10048	0.10105	0.10101	0.08654	0.08918	0.07749	0.07783	0.07975	0.07133	0.07105	0.06371	0.06508	0.06418	0.05832	0.05750	0.05250	0.05199	0.05198	0.04735	0.04641	0.04189	0.04059	0.03601	0.03480	0.03420	0.03163	0.03130	0.02891	0.02793	0.02810	0.02604	0.02507	0.02300	0.02127	0.02042	0.01903	0.01965	0.01843	0.01755	0.01634	0.01545	0.01483	0.01361	0.01251	0.01139	0.01116	0.01098	0.00997	0.00931	0.00835	0.00771	0.00743	0.00692	0.00733	0.00288	0.01357	
.	0.00006	0.00021	0.00022	0.00031	0.00025	0.00022	0.00023	0.00024	0.00031	0.00035	0.00031	0.00033	0.00036	0.00039	0.00040	0.00047	0.00048	0.00058	0.00056	0.00062	0.00068	0.00074	0.00080	0.00089	0.00085	0.00093	0.00104	0.00111	0.00119	0.00118	0.00119	0.00128	0.00139	0.00146	0.00162	0.00172	0.00185	0.00199	0.00224	0.00229	0.00242	0.00259	0.00255	0.00267	0.00276	0.00284	0.00293	0.00309	0.00325	0.00325	0.00351	0.00359	0.00381	0.00438	0.00453	0.00459	0.00456	0.00461	0.00474	0.00511	0.00521	0.00527	0.00542	0.00563	0.00617	0.00617	0.00615	0.00654	0.00714	0.00720	0.00739	0.00699	0.00650	0.00578	0.00693	0	
@	0.03215	0.03093	0.03326	0.03506	0.04081	0.03973	0.03793	0.04158	0.04262	0.05064	0.05453	0.05743	0.05116	0.05406	0.05465	0.05775	0.05742	0.05927	0.05992	0.06159	0.06159	0.06394	0.06513	0.06858	0.07124	0.07257	0.07500	0.07654	0.07908	0.08008	0.08108	0.08199	0.08498	0.08479	0.08629	0.08810	0.08814	0.09009	0.08772	0.08983	0.08923	0.09088	0.09023	0.09250	0.09234	0.09122	0.09171	0.09201	0.09210	0.09070	0.09121	0.08991	0.08899	0.08562	0.08525	0.08365	0.08518	0.08292	0.08315	0.08156	0.07993	0.07968	0.07664	0.07504	0.07162	0.07022	0.06803	0.06583	0.06137	0.05894	0.05679	0.05575	0.05337	0.05393	0.03423	0.05115	
;	0.00082	0.00336	0.00424	0.00435	0.00557	0.00478	0.00545	0.00515	0.00582	0.00625	0.00684	0.00705	0.00685	0.00718	0.00785	0.00783	0.00913	0.00860	0.00967	0.00957	0.01015	0.01069	0.01121	0.01153	0.01227	0.01307	0.01431	0.01412	0.01603	0.01542	0.01624	0.01644	0.01720	0.01873	0.01946	0.02095	0.02136	0.02219	0.02308	0.02319	0.02463	0.02515	0.02629	0.02780	0.02920	0.02988	0.03185	0.03229	0.03453	0.03373	0.03580	0.03629	0.03744	0.03955	0.03989	0.04047	0.04050	0.04011	0.04052	0.04057	0.04082	0.04127	0.04220	0.04359	0.04363	0.04471	0.04523	0.04579	0.04548	0.04558	0.04531	0.04488	0.04520	0.04282	0.04360	0.03640	
<	0.00157	0.00283	0.00457	0.00408	0.00558	0.00436	0.00431	0.00526	0.00615	0.00716	0.00781	0.00750	0.00755	0.00750	0.00910	0.00886	0.01060	0.00962	0.01103	0.01047	0.01106	0.01178	0.01297	0.01284	0.01401	0.01451	0.01655	0.01615	0.01860	0.01815	0.01864	0.01902	0.01973	0.02148	0.02205	0.02372	0.02406	0.02500	0.02581	0.02604	0.02722	0.02785	0.02878	0.03027	0.03138	0.03172	0.03328	0.03392	0.03562	0.03498	0.03642	0.03715	0.03780	0.04017	0.03946	0.04055	0.04036	0.04006	0.04100	0.04065	0.04130	0.04118	0.04198	0.04235	0.04277	0.04286	0.04338	0.04336	0.04297	0.04228	0.04251	0.04187	0.04203	0.03991	0.04278	0.03418	
A	0.12666	0.11365	0.12753	0.13299	0.14442	0.15007	0.14318	0.15696	0.16077	0.18132	0.18276	0.18914	0.17340	0.18574	0.18241	0.17976	0.18408	0.17863	0.18717	0.18199	0.18892	0.18516	0.18368	0.19475	0.19165	0.20079	0.19554	0.19459	0.20061	0.19843	0.20356	0.19943	0.19486	0.19821	0.19141	0.19528	0.19017	0.18526	0.18537	0.18080	0.18155	0.17740	0.17954	0.17324	0.16888	0.16591	0.16195	0.16067	0.15472	0.14974	0.14821	0.14388	0.13986	0.12977	0.12523	0.12399	0.12297	0.12179	0.11808	0.11499	0.11060	0.10676	0.10260	0.09653	0.09167	0.08724	0.08344	0.07813	0.07091	0.06733	0.06380	0.06093	0.05763	0.06020	0.02667	0.04882	
6	0.00013	0.00078	0.00087	0.00106	0.00116	0.00106	0.00134	0.00116	0.00138	0.00150	0.00170	0.00158	0.00186	0.00177	0.00209	0.00232	0.00247	0.00283	0.00287	0.00312	0.00331	0.00361	0.00413	0.00396	0.00422	0.00443	0.00490	0.00517	0.00559	0.00545	0.00556	0.00599	0.00637	0.00681	0.00733	0.00759	0.00815	0.00867	0.00929	0.00973	0.01005	0.01084	0.01095	0.01213	0.01260	0.01275	0.01354	0.01399	0.01483	0.01486	0.01568	0.01627	0.01698	0.01902	0.01892	0.01925	0.01887	0.01936	0.01972	0.02002	0.02052	0.02058	0.02168	0.02298	0.02423	0.02452	0.02515	0.02599	0.02773	0.02788	0.02888	0.02866	0.02878	0.02687	0.03008	0.02626	
3	0.00015	0.00059	0.00061	0.00077	0.00080	0.00071	0.00090	0.00077	0.00093	0.00098	0.00100	0.00114	0.00113	0.00127	0.00129	0.00134	0.00154	0.00169	0.00187	0.00199	0.00222	0.00233	0.00241	0.00263	0.00263	0.00293	0.00305	0.00295	0.00346	0.00314	0.00336	0.00347	0.00369	0.00397	0.00426	0.00464	0.00478	0.00505	0.00560	0.00579	0.00621	0.00655	0.00673	0.00738	0.00740	0.00773	0.00804	0.00843	0.00902	0.00880	0.00950	0.00974	0.01045	0.01185	0.01182	0.01212	0.01182	0.01211	0.01228	0.01296	0.01296	0.01311	0.01387	0.01477	0.01590	0.01607	0.01637	0.01743	0.01888	0.01946	0.02006	0.02000	0.02003	0.01800	0.02449	0.02084	
%	0	0.00072	0.00052	0.00203	0.00068	0.00008	0.00012	0.00010	0.00168	0.00214	0.00014	0.00015	0.00015	0.00104	0.00016	0.00136	0.00017	0.00235	0.00022	0.00023	0.00028	0.00078	0.00090	0.00091	0.00032	0.00081	0.00057	0.00187	0.00078	0.00047	0.00049	0.00051	0.00055	0.00058	0.00123	0.00093	0.00089	0.00077	0.00097	0.00175	0.00094	0.00106	0.00099	0.00099	0.00103	0.00146	0.00132	0.00156	0.00116	0.00183	0.00122	0.00138	0.00177	0.00149	0.00351	0.00248	0.00180	0.00199	0.00190	0.00221	0.00218	0.00259	0.00229	0.00231	0.00236	0.00259	0.00235	0.00235	0.00276	0.00284	0.00245	0.00243	0.00155	0.00131	0.00008	0	
#	0.00136	0.00080	0.00083	0.01554	0.00094	0.00096	0.00107	0.00120	0.00661	0.00623	0.00163	0.00180	0.00204	0.00277	0.00263	0.00837	0.00328	0.00507	0.00409	0.00463	0.00529	0.00646	0.00741	0.00765	0.00857	0.01012	0.01106	0.01395	0.01377	0.01439	0.01575	0.01718	0.01869	0.02028	0.02744	0.02409	0.02579	0.02754	0.02970	0.03376	0.03439	0.03701	0.03973	0.04259	0.04550	0.05887	0.05251	0.05617	0.05876	0.07429	0.06677	0.07146	0.07710	0.08070	0.09218	0.09407	0.09717	0.10431	0.11035	0.11763	0.12590	0.13526	0.13967	0.14583	0.15244	0.16059	0.16734	0.17634	0.18868	0.20349	0.21034	0.22764	0.24557	0.27452	0.33137	0.38712	
9	0.00070	0.00158	0.00202	0.00223	0.00274	0.00245	0.00261	0.00271	0.00313	0.00376	0.00402	0.00430	0.00427	0.00474	0.00502	0.00540	0.00599	0.00637	0.00692	0.00735	0.00786	0.00824	0.00870	0.00927	0.00967	0.01081	0.01160	0.01156	0.01331	0.01298	0.01402	0.01424	0.01466	0.01616	0.01686	0.01836	0.01871	0.01910	0.02059	0.02053	0.02205	0.02259	0.02409	0.02518	0.02613	0.02708	0.02840	0.02961	0.03090	0.03040	0.03231	0.03263	0.03455	0.03650	0.03605	0.03713	0.03668	0.03772	0.03757	0.03844	0.03830	0.03812	0.04002	0.04110	0.04262	0.04309	0.04326	0.04462	0.04473	0.04551	0.04554	0.04532	0.04600	0.04305	0.04990	0.04011	
>	0.00122	0.00718	0.00823	0.00936	0.01226	0.01145	0.01212	0.01210	0.01367	0.01628	0.01756	0.01850	0.01772	0.01925	0.02066	0.02207	0.02330	0.02440	0.02583	0.02645	0.02788	0.02919	0.03068	0.03266	0.03329	0.03717	0.03791	0.04055	0.04311	0.04431	0.04569	0.04719	0.04894	0.05150	0.05236	0.05448	0.05612	0.05657	0.05809	0.05778	0.06015	0.06076	0.06420	0.06484	0.06639	0.06786	0.06982	0.07172	0.07160	0.07152	0.07293	0.07393	0.07430	0.07294	0.07238	0.07324	0.07375	0.07374	0.07309	0.07250	0.07156	0.07080	0.07099	0.06961	0.06819	0.06752	0.06638	0.06469	0.06074	0.05967	0.05757	0.05627	0.05518	0.05360	0.04149	0.04634	
B	0.82862	0.56851	0.57299	0.56489	0.56198	0.57177	0.56579	0.55212	0.54264	0.52069	0.50971	0.50092	0.51490	0.51253	0.50168	0.48542	0.48706	0.48302	0.48125	0.48012	0.47434	0.46685	0.45499	0.44540	0.43774	0.41949	0.40948	0.39699	0.37690	0.38092	0.37202	0.36489	0.35689	0.33985	0.33077	0.31695	0.31193	0.30629	0.29485	0.29179	0.27892	0.27076	0.25722	0.24385	0.23295	0.21965	0.21093	0.20221	0.19126	0.18778	0.17972	0.17288	0.16187	0.14836	0.14277	0.13848	0.13899	0.13457	0.13001	0.12431	0.11970	0.11442	0.10627	0.09814	0.09067	0.08554	0.08205	0.07534	0.06853	0.06295	0.05957	0.05659	0.05250	0.05604	0.02061	0.05643	
+	0.00010	0.00018	0.00018	0.00026	0.00019	0.00016	0.00019	0.00018	0.00025	0.00026	0.00022	0.00022	0.00023	0.00028	0.00026	0.00032	0.00030	0.00041	0.00035	0.00041	0.00044	0.00046	0.00050	0.00053	0.00052	0.00060	0.00064	0.00067	0.00070	0.00067	0.00073	0.00076	0.00081	0.00085	0.00091	0.00101	0.00106	0.00113	0.00130	0.00134	0.00142	0.00155	0.00143	0.00152	0.00156	0.00158	0.00157	0.00169	0.00177	0.00176	0.00189	0.00194	0.00203	0.00233	0.00246	0.00244	0.00254	0.00254	0.00270	0.00293	0.00301	0.00312	0.00310	0.00323	0.00340	0.00337	0.00340	0.00350	0.00388	0.00379	0.00385	0.00364	0.00313	0.00280	0.00244	0	
8	0.00013	0.00091	0.00111	0.00127	0.00143	0.00133	0.00161	0.00144	0.00169	0.00181	0.00218	0.00216	0.00239	0.00233	0.00267	0.00294	0.00307	0.00337	0.00333	0.00359	0.00364	0.00421	0.00436	0.00444	0.00482	0.00488	0.00550	0.00539	0.00586	0.00547	0.00562	0.00589	0.00632	0.00671	0.00720	0.00775	0.00803	0.00848	0.00898	0.00925	0.00971	0.01011	0.01035	0.01123	0.01144	0.01169	0.01240	0.01273	0.01385	0.01323	0.01456	0.01463	0.01541	0.01709	0.01687	0.01739	0.01706	0.01723	0.01753	0.01788	0.01807	0.01806	0.01887	0.01958	0.02016	0.02065	0.02083	0.02208	0.02225	0.02298	0.02317	0.02290	0.02366	0.02150	0.03020	0.02553	
