/	0.00004	0.00026	0.00024	0.00020	0.00026	0.00021	0.00025	0.00020	0.00027	0.00026	0.00029	0.00031	0.00027	0.00033	0.00034	0.00035	0.00038	0.00040	0.00042	0.00052	0.00051	0.00056	0.00068	0.00090	0.00075	0.00076	0.00085	0.00078	0.00104	0.00073	0.00073	0.00078	0.00076	0.00083	0.00089	0.00093	0.00097	0.00105	0.00112	0.00117	0.00133	0.00142	0.00148	0.00181	0.00166	0.00161	0.00169	0.00185	0.00192	0.00200	0.00211	0.00218	0.00231	0.00267	0.00281	0.00288	0.00306	0.00322	0.00343	0.00358	0.00397	0.00412	0.00401	0.00444	0.00477	0.00497	0.00527	0.00561	0.00649	0.00623	0.00713	0.00697	0.00667	0.00618	0.00771	0	
=	0.00135	0.00758	0.00865	0.00986	0.01306	0.01138	0.01314	0.01288	0.01414	0.01614	0.01809	0.02091	0.01791	0.02047	0.02137	0.02104	0.02389	0.02291	0.02477	0.02375	0.02560	0.02584	0.02680	0.02834	0.02841	0.03304	0.03267	0.03365	0.03985	0.03659	0.03992	0.03819	0.03678	0.04295	0.04229	0.04823	0.04701	0.04643	0.04959	0.04841	0.05277	0.05322	0.05763	0.05769	0.05705	0.06099	0.06204	0.06641	0.06659	0.06334	0.06948	0.06957	0.07368	0.07316	0.07221	0.07615	0.07537	0.07818	0.07679	0.07898	0.07737	0.07518	0.07856	0.07703	0.07839	0.07767	0.07589	0.07649	0.07313	0.07419	0.07168	0.07054	0.07059	0.06913	0.05706	0.05713	
:	0.00067	0.00140	0.00176	0.00211	0.00258	0.00231	0.00278	0.00264	0.00301	0.00342	0.00370	0.00339	0.00343	0.00363	0.00398	0.00411	0.00440	0.00468	0.00492	0.00499	0.00532	0.00570	0.00714	0.00658	0.00728	0.00744	0.00815	0.00874	0.00922	0.00918	0.00922	0.00945	0.00959	0.01066	0.01135	0.01214	0.01280	0.01366	0.01420	0.01478	0.01544	0.01684	0.01760	0.01920	0.02002	0.02002	0.02188	0.02288	0.02453	0.02452	0.02630	0.02826	0.02881	0.03116	0.03228	0.03413	0.03509	0.03600	0.03711	0.03690	0.03874	0.03893	0.04058	0.04167	0.04209	0.04418	0.04622	0.04673	0.04787	0.04815	0.04940	0.04887	0.04978	0.04724	0.06035	0.04748	
7	0.00045	0.00081	0.00108	0.00123	0.00150	0.00139	0.00156	0.00150	0.00169	0.00201	0.00217	0.00239	0.00211	0.00239	0.00256	0.00298	0.00277	0.00316	0.00306	0.00346	0.00337	0.00366	0.00454	0.00456	0.00498	0.00506	0.00546	0.00554	0.00644	0.00567	0.00606	0.00583	0.00575	0.00656	0.00709	0.00785	0.00806	0.00843	0.00900	0.00917	0.00996	0.01059	0.01147	0.01265	0.01246	0.01278	0.01356	0.01472	0.01593	0.01543	0.01745	0.01800	0.01936	0.02051	0.02128	0.02280	0.02341	0.02461	0.02525	0.02612	0.02678	0.02701	0.02808	0.02943	0.03052	0.03236	0.03394	0.03576	0.03711	0.03819	0.03931	0.03974	0.04121	0.03886	0.05592	0.04320	
*	0.00018	0.00033	0.00029	0.00012	0.00027	0.00012	0.00010	0.00011	0.00042	0.00041	0.00012	0.00012	0.00012	0.00013	0.00013	0.00014	0.00013	0.00016	0.00015	0.00016	0.00016	0.00017	0.00034	0.00040	0.00025	0.00030	0.00034	0.00029	0.00032	0.00029	0.00031	0.00028	0.00029	0.00032	0.00034	0.00034	0.00038	0.00037	0.00039	0.00042	0.00045	0.00050	0.00055	0.00060	0.00059	0.00060	0.00058	0.00064	0.00065	0.00086	0.00075	0.00076	0.00078	0.00086	0.00103	0.00095	0.00101	0.00107	0.00111	0.00120	0.00133	0.00140	0.00134	0.00137	0.00156	0.00158	0.00160	0.00166	0.00202	0.00183	0.00189	0.00195	0.00149	0.00134	0.00064	0	
,	0.00004	0.00027	0.00023	0.00013	0.00024	0.00013	0.00019	0.00012	0.00027	0.00025	0.00016	0.00020	0.00017	0.00022	0.00020	0.00020	0.00022	0.00025	0.00026	0.00030	0.00034	0.00037	0.00045	0.00067	0.00047	0.00052	0.00056	0.00048	0.00063	0.00044	0.00048	0.00050	0.00049	0.00049	0.00054	0.00060	0.00065	0.00065	0.00073	0.00080	0.00086	0.00097	0.00103	0.00122	0.00110	0.00112	0.00110	0.00125	0.00134	0.00138	0.00147	0.00145	0.00161	0.00174	0.00182	0.00195	0.00197	0.00221	0.00218	0.00256	0.00256	0.00265	0.00263	0.00282	0.00320	0.00319	0.00308	0.00352	0.00394	0.00391	0.00415	0.00408	0.00360	0.00329	0.00328	0	
2	0.00009	0.00031	0.00040	0.00040	0.00049	0.00039	0.00042	0.00043	0.00051	0.00057	0.00069	0.00074	0.00070	0.00075	0.00081	0.00088	0.00092	0.00099	0.00099	0.00109	0.00117	0.00121	0.00154	0.00162	0.00175	0.00168	0.00189	0.00183	0.00209	0.00180	0.00188	0.00189	0.00189	0.00210	0.00226	0.00234	0.00249	0.00260	0.00288	0.00302	0.00331	0.00358	0.00387	0.00446	0.00436	0.00420	0.00451	0.00480	0.00520	0.00536	0.00567	0.00613	0.00640	0.00723	0.00759	0.00817	0.00844	0.00910	0.00950	0.00961	0.01013	0.01029	0.01064	0.01153	0.01233	0.01284	0.01405	0.01477	0.01705	0.01664	0.01847	0.01809	0.01841	0.01713	0.02432	0.01923	
-	0.00008	0.00011	0.00013	0.00011	0.00014	0.00011	0.00010	0.00009	0.00018	0.00017	0.00014	0.00014	0.00015	0.00014	0.00015	0.00018	0.00018	0.00020	0.00019	0.00023	0.00025	0.00029	0.00037	0.00044	0.00039	0.00041	0.00048	0.00045	0.00047	0.00043	0.00041	0.00046	0.00045	0.00048	0.00053	0.00055	0.00054	0.00064	0.00068	0.00073	0.00078	0.00086	0.00089	0.00109	0.00104	0.00097	0.00100	0.00108	0.00109	0.00123	0.00126	0.00132	0.00137	0.00161	0.00172	0.00176	0.00186	0.00200	0.00212	0.00224	0.00251	0.00257	0.00248	0.00278	0.00302	0.00308	0.00327	0.00339	0.00400	0.00376	0.00421	0.00417	0.00375	0.00345	0.00360	0	
1	0.00013	0.00049	0.00049	0.00044	0.00061	0.00049	0.00059	0.00050	0.00059	0.00062	0.00069	0.00076	0.00067	0.00076	0.00081	0.00082	0.00095	0.00100	0.00105	0.00117	0.00123	0.00130	0.00161	0.00185	0.00174	0.00177	0.00190	0.00175	0.00228	0.00160	0.00175	0.00173	0.00175	0.00188	0.00203	0.00226	0.00235	0.00240	0.00270	0.00289	0.00322	0.00351	0.00379	0.00461	0.00407	0.00426	0.00433	0.00482	0.00509	0.00515	0.00572	0.00592	0.00650	0.00712	0.00731	0.00803	0.00834	0.00915	0.00909	0.00966	0.01004	0.00989	0.01052	0.01111	0.01216	0.01269	0.01330	0.01467	0.01670	0.01723	0.01833	0.01802	0.01868	0.01722	0.02343	0	
0	0.00006	0.00024	0.00027	0.00024	0.00028	0.00023	0.00025	0.00024	0.00030	0.00033	0.00038	0.00043	0.00038	0.00043	0.00043	0.00051	0.00050	0.00054	0.00051	0.00060	0.00063	0.00068	0.00083	0.00095	0.00095	0.00100	0.00109	0.00105	0.00124	0.00106	0.00114	0.00110	0.00105	0.00121	0.00127	0.00139	0.00144	0.00151	0.00162	0.00173	0.00182	0.00197	0.00219	0.00254	0.00239	0.00239	0.00243	0.00269	0.00279	0.00294	0.00312	0.00332	0.00358	0.00384	0.00407	0.00433	0.00457	0.00494	0.00490	0.00529	0.00557	0.00565	0.00580	0.00617	0.00673	0.00690	0.00721	0.00776	0.00868	0.00871	0.00933	0.00932	0.00917	0.00850	0.01190	0	
