0	41684796
1	8991044
2	2886822
3	1004389
4	612302
5	431594
6	349887
7	262985
8	206907
9	164115
10	136462
11	118647
12	100815
13	86261
14	73636
15	62742
16	54254
17	45005
18	38501
19	32260
20	27512
21	23283
22	19613
23	16130
24	13364
25	10979
26	8936
27	7417
28	5961
29	4529
30	3721
31	3019
32	2468
33	2078
34	1996
35	1696
36	1237
37	922
38	806
39	688
40	405
41	265
42	138
43	60
44	44
45	26
46	12
47	5
48	2
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
