/	0	0	0	0	0	20	47	29	210	301	430	632	800	1249	1761	2666	2675	3037	3425	4798	5404	6502	7298	8016	9477	11662	14129	17238	21246	25312	29901	35279	39764	46193	53431	62426	70563	75827	87890	92569	98253	103313	109813	119429	119644	123931	131454	137225	140821	146045	143861	130829	129197	128641	142863	136702	130852	129026	117987	115790	114351	108587	104042	99774	102503	112921	100863	105917	98110	90227	83304	73383	58956	23419	2228	0	
=	920823	1311974	976060	700504	710378	460799	431584	360220	300208	205638	121284	69269	67339	64958	71060	76675	74439	76655	80714	82759	90659	91635	92886	94263	106217	120141	128504	135317	159874	170998	189320	220683	246685	277151	309471	351909	393299	445354	513754	570840	647662	724406	787134	837832	907745	975935	1054550	1139285	1213063	1273610	1879416	1586579	1457560	1410610	1430049	1448694	1486710	1476913	1491506	1485487	1473618	1466593	1471017	1400638	1351857	1306687	1274421	1255779	1224589	1205726	1183325	1153850	1023491	962236	881781	2345823	
7	84802	70400	81460	76461	93370	10462	9678	13266	15778	13271	14393	16266	19629	20469	23721	25963	26438	28028	29468	30813	32619	34302	39081	40843	45699	50591	57795	61872	73149	81582	89513	108649	120254	127628	136705	154528	168910	184635	210825	225860	237671	255292	273868	292608	317202	337481	356720	389730	421123	442589	565043	524253	503497	488942	500797	513069	545671	539691	608138	629697	643115	637096	650999	652331	595705	606402	592776	578787	574149	394543	379084	345160	289902	249480	217758	740869	
,	0	0	0	0	0	21533	25999	33366	40133	50491	48741	48489	47016	50105	54965	54265	51432	49564	49648	43758	40637	40330	31039	27503	20430	19882	14652	9928	8035	6345	5750	6136	7058	9300	9502	10643	11913	12998	16537	18817	23831	24450	27925	30883	34890	37444	41825	48112	51843	59176	79634	69355	68242	69328	73572	80615	84976	83986	90578	95526	94948	95793	101568	96470	98365	97986	105958	109637	102000	110802	86640	73406	46859	11979	100	0	
2	0	0	0	0	0	170170	193313	205312	220531	225044	226916	244689	244448	262932	268474	271494	274958	261188	55855	67622	78471	84319	93713	94794	96885	94203	99716	95620	84501	73817	59017	53763	45714	39800	35915	36164	40493	43807	50814	52052	54232	61454	66983	76321	74010	76043	81516	88075	86654	95515	90883	95358	100918	110859	117753	120539	128474	135779	140132	144015	140070	147502	151159	160556	169853	177383	188324	193426	202046	201487	198707	194509	182429	175427	168726	536308	
E	0	0	0	0	0	1378344	1679247	1663190	5429	5037	3792	3633	3251	4037262	4135931	4256896	4161572	4043387	3530873	3560347	3625782	3647228	3524658	3386027	3344307	3305419	3269391	3215982	3212754	3190704	3175595	3147445	3128848	3046832	3031013	3013070	3087042	3184747	3237990	3345880	3455035	3529002	3727895	3938309	4175268	4387653	4684109	4900077	5195685	5461214	6225413	6410016	6439842	6551031	6713784	6899927	7197206	7382921	7705524	8086409	8358328	8774577	8812406	8886347	8856823	8827375	8932128	8725377	8822069	8687355	8417149	8470178	8391956	8208928	7932854	4272304	
1	642330	641393	484059	130410	158589	72137	60561	67271	69013	58579	63216	78435	92584	138779	153399	165250	155108	154939	149164	156931	172242	189086	200752	204841	211156	224725	234781	231949	246922	248667	240649	236675	227885	206187	182374	165840	151209	138612	128401	111066	92778	87447	77807	74373	65555	59489	58236	57482	62138	58946	48272	50099	51123	58002	63882	58542	68652	53481	50364	54741	53954	55025	51024	54349	75162	79386	80907	82051	79622	96205	81172	82600	79735	75839	87728	200286	
<	1411694	1171956	1281855	17474	23317	111713	149851	210569	550062	662110	748428	864983	892130	920613	935786	963290	956939	913374	882042	861631	861728	849722	809918	762832	726386	683466	656510	632654	617569	593158	581969	569454	564159	556981	555211	553837	581105	580760	588159	596710	586336	581412	600174	598443	597998	603845	621496	624445	650100	665821	680704	649701	664152	651960	659472	672347	684376	701079	727340	764021	782829	819429	850792	893456	764855	821890	842414	884448	932749	948181	962603	990347	1005662	1007793	1434990	3029373	
J	0	0	0	0	0	0	0	0	0	0	0	0	0	57271712	55900597	54240909	54085355	54130693	54727456	54038890	53061886	51654972	52242312	54791134	54527080	54241717	53435635	52632677	51399850	50303279	49338327	48432047	47599882	46906004	46108595	45145481	43987713	42891383	41394356	40144055	38959127	37782952	36697973	35128926	33906604	32485243	30916023	29388418	27861487	25985531	15899012	15396055	17669149	19140068	18762076	17836255	16614591	15194284	13745840	12205223	10867993	9439802	8302577	7643202	6774733	5979203	5286145	4490231	3837559	3193566	2696453	2166670	1795449	1483802	1216789	205204	
>	0	0	0	5708	6444	187944	178928	208461	235737	253168	255650	271530	278048	294747	317971	326238	306258	285959	304058	321006	335635	349370	324387	300119	312294	325035	333955	344763	354598	368926	389677	394691	408406	422693	442666	456034	486908	509891	527687	559454	591585	604375	655728	685450	728750	769628	832450	886340	941886	1020042	1153696	1123119	1159472	1220945	1298348	1369401	1442867	1546108	1638920	1753386	1840337	1914116	1999359	2099035	2428582	2553097	2689566	2840781	2923294	3072516	3227931	3295515	3405201	3429106	3328157	7602323	
B	11831643	9109032	6052887	2566676	2692556	1908013	2073570	2201250	1554083	1673929	1683192	1689379	1729976	1924027	2018643	2086715	2022709	1935731	1292142	1321906	1368333	1406439	1393239	1383599	1432547	1481862	1535518	1602736	1691980	1779891	1868035	1952613	2036883	2137119	2217545	2321917	2428702	2506343	2618459	2675937	2778486	2870147	2913585	2975440	3028959	3082525	3149524	3203319	3282674	3397343	4636550	4086995	3776520	3747928	3782566	3925263	4024453	4244931	4374880	4596461	4886790	5136317	5382766	5603610	5832667	5992872	6205650	6459446	6629233	6828105	7051919	7222630	7409488	7579156	7609001	6245267	
?	5067879	4517770	4080012	1053022	1146442	1101233	1039531	1158993	1235627	1299557	1321618	1379590	1460770	730304	775937	829471	847122	872237	899734	946953	1020952	1105388	1188061	1301799	1360290	1395240	1488030	1535683	1610627	1706242	1772816	1831215	1828988	1861151	1825455	1806916	1785983	1792754	1761008	1716879	1663298	1614783	1581954	1555364	1524508	1507106	1486607	1530650	1535238	1564604	2134590	1782971	1662938	1638086	1667984	1748465	1824626	1898613	1931512	2030261	2181320	2269590	2346629	2486603	2562183	2679302	2812111	2903665	3031006	3120753	3193656	3262384	3365209	3373313	3442300	5708177	
H	0	0	0	0	0	0	0	0	83125745	81988317	81829532	80446916	78851739	7151425	7165646	7311310	7741679	8095211	8954669	8885238	8973094	9174703	9731844	9429793	9109790	8777132	8586419	8483905	8335520	8283426	8191220	8181518	8042190	7948841	7986818	7990740	8144781	8301770	8829943	9062810	9046355	9292507	9258029	9546659	9555701	9817924	10131445	10354763	11249836	11416024	14602531	16134769	13972882	12922469	12605728	12266435	12192594	11940472	11993382	11978810	11964724	11874594	11369831	10592262	9719493	9183085	8242375	7642944	7229707	6781625	5935002	5694888	5282096	4710124	4252411	1503016	
&	0	0	0	0	0	0	61	132	197	292	222	305	518	730	815	1056	893	905	996	1165	1055	1152	1178	1337	1307	1563	1727	2037	2188	2398	2844	3111	3479	3676	4049	4309	4399	4845	5433	5793	6568	7346	8980	9043	10555	11313	11839	13837	15700	18480	16081	19180	20725	21260	24274	27389	28764	29892	32012	36245	38399	38485	40302	49225	53020	66093	61925	63488	64351	60316	53909	42455	23706	5641	0	0	
