/	0	0	0	0	0	11	26	11	40	67	78	151	218	314	504	789	1005	853	994	1493	1679	2120	2545	2865	3397	4397	5553	6927	8822	10744	12594	15569	17115	20140	23427	27010	30991	32840	38575	40495	41952	44526	48257	53589	52947	55051	59274	60305	62639	65895	62936	61532	63041	64649	73312	66634	66258	66404	61011	59490	60688	58845	55610	51725	52172	58265	53052	54324	50268	45477	40727	35796	26758	8189	276	0	
=	332821	333336	273909	217576	271704	176424	174575	148908	126359	87523	54448	31748	31339	29926	32369	35257	37017	34990	36720	37873	41126	41632	45617	43232	48401	54799	58042	61752	72997	78427	87148	101545	112752	128651	143658	163150	182690	206018	239327	268236	301053	337951	367581	391690	425662	457596	497694	536152	568937	600030	635325	653651	671976	680605	709284	717460	750577	763303	775164	774304	772399	779555	785018	753582	719241	688104	673587	663885	644704	627912	607659	601044	535100	499011	441807	1633181	
7	12172	32461	38009	33941	44768	4745	3993	5573	6343	5548	5995	6900	8462	8598	9808	10783	11667	11623	11571	12675	13422	14098	17139	17082	19024	20692	24483	26794	32010	35759	39422	49025	53681	57762	61210	69415	75917	82448	94722	103737	107181	115038	123233	133527	144797	155083	164848	178650	192814	205579	211263	227449	235504	237439	245953	250116	271898	273852	312303	323084	333440	336406	344353	344402	312009	313719	307777	300507	294411	200325	187594	172876	146928	122104	98964	487864	
,	0	0	0	0	0	6157	7091	9591	11020	13917	13410	13134	12677	13853	14015	14509	15937	13801	13524	12619	10896	11193	10335	7962	6422	8025	6290	4380	3571	2732	2469	2679	3079	4050	4176	4618	5226	5577	7267	8400	10000	10467	11977	13430	15126	16345	18487	20983	22156	25266	27027	27665	29922	31713	34341	36644	39351	40242	44806	47118	48335	50099	53332	51815	51396	48460	54516	57596	51811	56261	41928	35481	21250	2550	2	0	
2	0	0	0	0	0	49770	60106	65557	65984	64646	66430	73448	73975	78999	79078	80562	80421	82826	16088	19515	22546	24868	28261	31126	33599	34388	40422	40195	36905	33021	26440	24627	20058	17648	15752	15667	17802	18998	22212	22727	23339	27162	29769	34287	33727	34265	36857	38928	38618	43633	44584	46894	49361	55016	58218	58315	65132	69587	72481	73978	71889	78201	79530	81592	85928	89872	95670	97786	101774	100196	98854	96569	89797	82462	76996	327773	
E	0	0	0	0	0	584906	734393	744928	5429	5020	3681	3368	2918	2069049	2116298	2175203	2198829	2091922	1779981	1791886	1817299	1822990	1859840	1736005	1726361	1700324	1682469	1655452	1651278	1635572	1631563	1616002	1583627	1550001	1526590	1526437	1551153	1587329	1617092	1666928	1710967	1750960	1854608	1958799	2072657	2176079	2330442	2428323	2558105	2698977	2807209	2933614	3082189	3237442	3358572	3490624	3660015	3759294	3932805	4126849	4252887	4457027	4471073	4526338	4491445	4471464	4510115	4387290	4423188	4344594	4229906	4262248	4210063	4105649	3995541	1464468	
1	79289	79590	76132	43342	64178	26957	21765	22273	22811	20781	22487	28300	33881	47092	51327	56929	58130	53380	51015	53435	57803	63682	69827	71954	76118	84865	94386	96812	105581	108379	107455	108585	102841	94108	82291	75565	67401	61404	57010	48869	39657	38189	33735	33312	29491	26858	26418	25810	28940	27098	25709	26262	26185	30197	33677	29557	36283	27534	26537	28389	28671	29530	26824	26984	37192	40699	42460	41214	40061	45763	41004	41309	39556	36899	40644	88160	
<	377244	565396	620261	8742	12078	50625	63184	85619	236808	281965	316787	369528	384512	397643	402180	417616	429126	411178	391673	384530	381975	380172	377028	355461	344427	320703	312074	303513	298332	285971	283224	276873	266640	268458	265898	267566	279914	277568	281790	284958	274078	275046	285616	286180	284948	287117	297454	295637	308643	321669	319824	315650	333988	332120	331627	337311	349788	360769	376655	393263	405609	429581	443430	458481	391096	426115	436126	455494	479525	486618	488702	504781	510855	506956	704884	1732876	
J	0	0	0	0	0	0	0	0	0	0	0	0	0	29180474	28565709	27821165	27222445	27496446	27959083	27734050	27369312	26778866	25968429	27457101	27233078	27203559	26925291	26573606	25984282	25472789	24989074	24584961	24321068	23956070	23573054	23066612	22577059	22179474	21469495	20804629	20303317	19733129	19154437	18353955	17733872	17044382	16252676	15536971	14828816	13846096	12971076	12277784	11547476	10724002	9844892	9200290	8375782	7517920	6755379	6002223	5320316	4554418	4015344	3629355	3173524	2805558	2525178	2164362	1867209	1545383	1309053	1052481	879840	731143	601364	16838	
>	0	0	0	5708	6444	93762	87227	101753	112555	123129	124105	132460	135108	141772	153214	157831	165589	137841	144102	154196	159281	166339	176264	144789	150686	158640	163214	168775	173607	178426	190156	192662	194457	204301	212911	220820	234618	245070	254418	268872	279928	288070	315233	329820	348385	368875	399861	422621	447120	489905	513203	533365	570222	611516	650813	686871	735502	796244	849751	904211	960167	1012760	1056590	1102442	1273813	1340279	1417144	1494740	1531207	1610091	1681736	1714179	1769029	1768073	1657021	4809308	
