/	0	0	0	0	0	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00001	0.00001	0.00002	0.00002	0.00002	0.00003	0.00003	0.00004	0.00005	0.00006	0.00006	0.00007	0.00008	0.00010	0.00012	0.00015	0.00018	0.00022	0.00026	0.00031	0.00035	0.00040	0.00046	0.00054	0.00061	0.00066	0.00076	0.00080	0.00085	0.00090	0.00095	0.00104	0.00104	0.00108	0.00114	0.00119	0.00122	0.00127	0.00125	0.00114	0.00112	0.00112	0.00124	0.00119	0.00114	0.00112	0.00103	0.00101	0.00099	0.00094	0.00090	0.00087	0.00089	0.00098	0.00088	0.00092	0.00085	0.00078	0.00072	0.00064	0.00051	0.00020	0.00002	0	
=	0.00801	0.01141	0.00849	0.00609	0.00618	0.00401	0.00375	0.00313	0.00261	0.00179	0.00105	0.00060	0.00059	0.00056	0.00062	0.00067	0.00065	0.00067	0.00070	0.00072	0.00079	0.00080	0.00081	0.00082	0.00092	0.00104	0.00112	0.00118	0.00139	0.00149	0.00165	0.00192	0.00215	0.00241	0.00269	0.00306	0.00342	0.00387	0.00447	0.00496	0.00563	0.00630	0.00684	0.00729	0.00789	0.00849	0.00917	0.00991	0.01055	0.01107	0.01634	0.01380	0.01267	0.01227	0.01244	0.01260	0.01293	0.01284	0.01297	0.01292	0.01281	0.01275	0.01279	0.01218	0.01176	0.01136	0.01108	0.01092	0.01065	0.01048	0.01029	0.01003	0.00890	0.00837	0.00767	0.02040	
7	0.00074	0.00061	0.00071	0.00066	0.00081	0.00009	0.00008	0.00012	0.00014	0.00012	0.00013	0.00014	0.00017	0.00018	0.00021	0.00023	0.00023	0.00024	0.00026	0.00027	0.00028	0.00030	0.00034	0.00036	0.00040	0.00044	0.00050	0.00054	0.00064	0.00071	0.00078	0.00094	0.00105	0.00111	0.00119	0.00134	0.00147	0.00161	0.00183	0.00196	0.00207	0.00222	0.00238	0.00254	0.00276	0.00293	0.00310	0.00339	0.00366	0.00385	0.00491	0.00456	0.00438	0.00425	0.00435	0.00446	0.00474	0.00469	0.00529	0.00548	0.00559	0.00554	0.00566	0.00567	0.00518	0.00527	0.00515	0.00503	0.00499	0.00343	0.00330	0.00300	0.00252	0.00217	0.00189	0.00644	
,	0	0	0	0	0	0.00019	0.00023	0.00029	0.00035	0.00044	0.00042	0.00042	0.00041	0.00044	0.00048	0.00047	0.00045	0.00043	0.00043	0.00038	0.00035	0.00035	0.00027	0.00024	0.00018	0.00017	0.00013	0.00009	0.00007	0.00006	0.00005	0.00005	0.00006	0.00008	0.00008	0.00009	0.00010	0.00011	0.00014	0.00016	0.00021	0.00021	0.00024	0.00027	0.00030	0.00033	0.00036	0.00042	0.00045	0.00051	0.00069	0.00060	0.00059	0.00060	0.00064	0.00070	0.00074	0.00073	0.00079	0.00083	0.00083	0.00083	0.00088	0.00084	0.00086	0.00085	0.00092	0.00095	0.00089	0.00096	0.00075	0.00064	0.00041	0.00010	0.00000	0	
2	0	0	0	0	0	0.00148	0.00168	0.00179	0.00192	0.00196	0.00197	0.00213	0.00213	0.00229	0.00233	0.00236	0.00239	0.00227	0.00049	0.00059	0.00068	0.00073	0.00081	0.00082	0.00084	0.00082	0.00087	0.00083	0.00073	0.00064	0.00051	0.00047	0.00040	0.00035	0.00031	0.00031	0.00035	0.00038	0.00044	0.00045	0.00047	0.00053	0.00058	0.00066	0.00064	0.00066	0.00071	0.00077	0.00075	0.00083	0.00079	0.00083	0.00088	0.00096	0.00102	0.00105	0.00112	0.00118	0.00122	0.00125	0.00122	0.00128	0.00131	0.00140	0.00148	0.00154	0.00164	0.00168	0.00176	0.00175	0.00173	0.00169	0.00159	0.00153	0.00147	0.00466	
E	0	0	0	0	0	0.01199	0.01460	0.01446	0.00005	0.00004	0.00003	0.00003	0.00003	0.03511	0.03596	0.03702	0.03619	0.03516	0.03070	0.03096	0.03153	0.03171	0.03065	0.02944	0.02908	0.02874	0.02843	0.02796	0.02794	0.02774	0.02761	0.02737	0.02721	0.02649	0.02636	0.02620	0.02684	0.02769	0.02816	0.02909	0.03004	0.03069	0.03242	0.03425	0.03631	0.03815	0.04073	0.04261	0.04518	0.04749	0.05413	0.05574	0.05600	0.05696	0.05838	0.06000	0.06258	0.06420	0.06700	0.07032	0.07268	0.07630	0.07663	0.07727	0.07701	0.07676	0.07767	0.07587	0.07671	0.07554	0.07319	0.07365	0.07297	0.07138	0.06898	0.03715	
1	0.00559	0.00558	0.00421	0.00113	0.00138	0.00063	0.00053	0.00058	0.00060	0.00051	0.00055	0.00068	0.00081	0.00121	0.00133	0.00144	0.00135	0.00135	0.00130	0.00136	0.00150	0.00164	0.00175	0.00178	0.00184	0.00195	0.00204	0.00202	0.00215	0.00216	0.00209	0.00206	0.00198	0.00179	0.00159	0.00144	0.00131	0.00121	0.00112	0.00097	0.00081	0.00076	0.00068	0.00065	0.00057	0.00052	0.00051	0.00050	0.00054	0.00051	0.00042	0.00044	0.00044	0.00050	0.00056	0.00051	0.00060	0.00047	0.00044	0.00048	0.00047	0.00048	0.00044	0.00047	0.00065	0.00069	0.00070	0.00071	0.00069	0.00084	0.00071	0.00072	0.00069	0.00066	0.00076	0.00174	
<	0.01228	0.01019	0.01115	0.00015	0.00020	0.00097	0.00130	0.00183	0.00478	0.00576	0.00651	0.00752	0.00776	0.00801	0.00814	0.00838	0.00832	0.00794	0.00767	0.00749	0.00749	0.00739	0.00704	0.00663	0.00632	0.00594	0.00571	0.00550	0.00537	0.00516	0.00506	0.00495	0.00491	0.00484	0.00483	0.00482	0.00505	0.00505	0.00511	0.00519	0.00510	0.00506	0.00522	0.00520	0.00520	0.00525	0.00540	0.00543	0.00565	0.00579	0.00592	0.00565	0.00578	0.00567	0.00573	0.00585	0.00595	0.00610	0.00632	0.00664	0.00681	0.00713	0.00740	0.00777	0.00665	0.00715	0.00733	0.00769	0.00811	0.00824	0.00837	0.00861	0.00874	0.00876	0.01248	0.02634	
J	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49801	0.48609	0.47165	0.47030	0.47070	0.47588	0.46990	0.46140	0.44917	0.45428	0.47644	0.47414	0.47166	0.46465	0.45767	0.44695	0.43741	0.42902	0.42114	0.41391	0.40787	0.40094	0.39256	0.38250	0.37296	0.35995	0.34907	0.33877	0.32854	0.31911	0.30547	0.29484	0.28248	0.26883	0.25555	0.24227	0.22596	0.13825	0.13388	0.15364	0.16643	0.16315	0.15510	0.14447	0.13212	0.11953	0.10613	0.09450	0.08208	0.07220	0.06646	0.05891	0.05199	0.04597	0.03904	0.03337	0.02777	0.02345	0.01884	0.01561	0.01290	0.01058	0.00178	
>	0	0	0	0.00005	0.00006	0.00163	0.00156	0.00181	0.00205	0.00220	0.00222	0.00236	0.00242	0.00256	0.00276	0.00284	0.00266	0.00249	0.00264	0.00279	0.00292	0.00304	0.00282	0.00261	0.00272	0.00283	0.00290	0.00300	0.00308	0.00321	0.00339	0.00343	0.00355	0.00368	0.00385	0.00397	0.00423	0.00443	0.00459	0.00486	0.00514	0.00526	0.00570	0.00596	0.00634	0.00669	0.00724	0.00771	0.00819	0.00887	0.01003	0.00977	0.01008	0.01062	0.01129	0.01191	0.01255	0.01344	0.01425	0.01525	0.01600	0.01664	0.01739	0.01825	0.02112	0.02220	0.02339	0.02470	0.02542	0.02672	0.02807	0.02866	0.02961	0.02982	0.02894	0.06611	
