/	0	0.00017	0.00012	0.00016	0.00022	0.00006	0.00010	0.00011	0.00012	0.00008	0.00006	0.00007	0.00012	0.00007	0.00003	0.00006	0.00010	0.00006	0.00006	0.00007	0.00014	0.00009	0.00008	0.00006	0.00007	0.00011	0.00015	0.00012	0.00012	0.00009	0.00012	0.00015	0.00010	0.00018	0.00014	0.00020	0.00015	0.00023	0.00023	0.00026	0.00022	0.00032	0.00022	0.00039	0.00025	0.00027	0.00022	0.00031	0.00029	0.00030	0.00044	0.00033	0.00041	0.00036	0.00036	0.00036	0.00038	0.00042	0.00034	0.00039	0.00033	0.00034	0.00038	0.00037	0.00037	0.00050	0.00036	0.00047	0.00040	0.00027	0.00026	0.00028	0.00031	0.00025	0.00020	0	
=	0.00996	0.01356	0.01294	0.01327	0.01342	0.01267	0.01188	0.01265	0.01280	0.01268	0.01102	0.01218	0.01249	0.01298	0.01332	0.01238	0.01317	0.01326	0.01351	0.01346	0.01346	0.01462	0.01469	0.01438	0.01522	0.01463	0.01525	0.01465	0.01521	0.01637	0.01475	0.01522	0.01584	0.01624	0.01658	0.01683	0.01704	0.01808	0.01784	0.01822	0.01769	0.01951	0.01937	0.02002	0.02063	0.01965	0.02106	0.02288	0.02434	0.02507	0.02489	0.02633	0.02598	0.02711	0.02712	0.02731	0.02853	0.02886	0.02936	0.02945	0.03003	0.03073	0.03128	0.03265	0.03274	0.03308	0.03473	0.03539	0.03595	0.03696	0.03630	0.03753	0.03910	0.03975	0.04008	0.04913	
7	0.00022	0.00063	0.00069	0.00076	0.00062	0.00048	0.00042	0.00042	0.00051	0.00042	0.00041	0.00049	0.00047	0.00036	0.00039	0.00042	0.00047	0.00051	0.00061	0.00057	0.00058	0.00066	0.00063	0.00066	0.00073	0.00082	0.00070	0.00071	0.00066	0.00074	0.00084	0.00072	0.00063	0.00066	0.00087	0.00099	0.00107	0.00090	0.00093	0.00099	0.00092	0.00098	0.00122	0.00137	0.00118	0.00119	0.00117	0.00120	0.00105	0.00137	0.00137	0.00133	0.00137	0.00125	0.00147	0.00142	0.00140	0.00149	0.00128	0.00153	0.00133	0.00144	0.00137	0.00141	0.00182	0.00146	0.00157	0.00159	0.00156	0.00172	0.00142	0.00154	0.00173	0.00172	0.00188	0.00189	
,	0.00005	0.00025	0.00025	0.00031	0.00045	0.00039	0.00034	0.00028	0.00022	0.00019	0.00033	0.00029	0.00035	0.00029	0.00028	0.00034	0.00029	0.00030	0.00022	0.00032	0.00047	0.00038	0.00042	0.00042	0.00045	0.00062	0.00062	0.00070	0.00057	0.00057	0.00071	0.00060	0.00074	0.00067	0.00079	0.00092	0.00079	0.00117	0.00106	0.00178	0.00111	0.00114	0.00103	0.00125	0.00115	0.00121	0.00125	0.00131	0.00144	0.00159	0.00157	0.00191	0.00183	0.00185	0.00172	0.00178	0.00182	0.00166	0.00176	0.00175	0.00191	0.00194	0.00186	0.00205	0.00223	0.00221	0.00235	0.00213	0.00207	0.00194	0.00191	0.00212	0.00245	0.00222	0.00148	0	
2	0	0.00026	0.00030	0.00039	0.00036	0.00038	0.00026	0.00025	0.00024	0.00018	0.00026	0.00022	0.00018	0.00023	0.00017	0.00031	0.00039	0.00027	0.00027	0.00022	0.00028	0.00036	0.00029	0.00028	0.00030	0.00058	0.00034	0.00049	0.00030	0.00034	0.00054	0.00046	0.00047	0.00049	0.00036	0.00061	0.00058	0.00046	0.00055	0.00057	0.00084	0.00055	0.00083	0.00075	0.00068	0.00082	0.00065	0.00078	0.00070	0.00072	0.00119	0.00082	0.00095	0.00079	0.00084	0.00096	0.00101	0.00088	0.00066	0.00071	0.00097	0.00103	0.00097	0.00087	0.00084	0.00114	0.00101	0.00090	0.00100	0.00104	0.00102	0.00098	0.00085	0.00102	0.00110	0.00154	
E	0.08460	0.08459	0.08397	0.08498	0.08371	0.08291	0.08535	0.08408	0.08631	0.08822	0.08706	0.08936	0.08937	0.09081	0.09144	0.09175	0.09372	0.09522	0.09549	0.09654	0.09739	0.09987	0.10468	0.10547	0.10513	0.10696	0.11203	0.11504	0.11584	0.11473	0.11517	0.12087	0.12363	0.12663	0.12775	0.12735	0.13328	0.13261	0.13534	0.13937	0.14063	0.14552	0.14585	0.15089	0.15196	0.15424	0.15938	0.16131	0.16803	0.17699	0.17727	0.18158	0.18313	0.18267	0.18716	0.18930	0.19014	0.19018	0.18748	0.18915	0.19295	0.18969	0.19429	0.19520	0.19652	0.19552	0.19667	0.19859	0.19689	0.19597	0.19084	0.19050	0.18996	0.18861	0.18637	0.15966	
1	0	0.00015	0.00020	0.00030	0.00025	0.00014	0.00015	0.00017	0.00022	0.00011	0.00015	0.00018	0.00015	0.00013	0.00010	0.00022	0.00017	0.00012	0.00009	0.00014	0.00016	0.00017	0.00013	0.00018	0.00020	0.00022	0.00025	0.00020	0.00025	0.00018	0.00032	0.00036	0.00032	0.00030	0.00024	0.00042	0.00053	0.00044	0.00041	0.00040	0.00057	0.00059	0.00066	0.00047	0.00049	0.00050	0.00057	0.00045	0.00049	0.00049	0.00085	0.00075	0.00047	0.00061	0.00052	0.00079	0.00054	0.00063	0.00050	0.00051	0.00074	0.00058	0.00057	0.00058	0.00050	0.00072	0.00070	0.00061	0.00059	0.00068	0.00066	0.00060	0.00047	0.00059	0.00066	0.00124	
<	0.00030	0.00101	0.00090	0.00081	0.00072	0.00071	0.00087	0.00106	0.00098	0.00081	0.00058	0.00065	0.00064	0.00085	0.00093	0.00070	0.00069	0.00097	0.00081	0.00087	0.00081	0.00097	0.00092	0.00091	0.00098	0.00089	0.00097	0.00101	0.00109	0.00098	0.00099	0.00111	0.00123	0.00136	0.00132	0.00140	0.00146	0.00145	0.00155	0.00147	0.00139	0.00133	0.00167	0.00162	0.00207	0.00172	0.00189	0.00189	0.00217	0.00209	0.00221	0.00226	0.00248	0.00254	0.00267	0.00234	0.00265	0.00259	0.00260	0.00276	0.00263	0.00283	0.00301	0.00314	0.00320	0.00275	0.00314	0.00353	0.00336	0.00355	0.00317	0.00365	0.00343	0.00383	0.00423	0.00303	
>	0.00271	0.00397	0.00388	0.00406	0.00397	0.00441	0.00421	0.00400	0.00406	0.00395	0.00440	0.00393	0.00384	0.00408	0.00391	0.00438	0.00416	0.00391	0.00399	0.00397	0.00434	0.00417	0.00434	0.00440	0.00432	0.00457	0.00435	0.00413	0.00428	0.00407	0.00439	0.00431	0.00474	0.00443	0.00428	0.00527	0.00523	0.00515	0.00535	0.00517	0.00509	0.00531	0.00543	0.00544	0.00567	0.00626	0.00622	0.00634	0.00684	0.00712	0.00663	0.00749	0.00755	0.00785	0.00790	0.00733	0.00773	0.00800	0.00831	0.00880	0.00794	0.00859	0.00883	0.00908	0.00913	0.00841	0.00907	0.00969	0.00987	0.00942	0.00826	0.00976	0.01024	0.01030	0.01035	0.00758	
B	0.01509	0.02128	0.02094	0.02074	0.02106	0.02060	0.02022	0.02061	0.02029	0.02146	0.01909	0.02069	0.02255	0.02322	0.02275	0.02150	0.02276	0.02351	0.02323	0.02538	0.02514	0.02681	0.02921	0.02822	0.03020	0.02984	0.03104	0.03232	0.03315	0.03385	0.03437	0.03519	0.03599	0.03789	0.03848	0.03963	0.04159	0.04220	0.04469	0.04573	0.04639	0.04889	0.04881	0.05230	0.05248	0.05523	0.05690	0.06254	0.06399	0.06723	0.06914	0.07129	0.07187	0.07298	0.07490	0.07583	0.07791	0.07752	0.07986	0.08131	0.08190	0.08524	0.08522	0.08754	0.08864	0.08959	0.09104	0.09406	0.09529	0.09540	0.09628	0.09856	0.09941	0.10026	0.10187	0.10058	
?	0.01147	0.01496	0.01665	0.01535	0.01514	0.01476	0.01452	0.01503	0.01515	0.01562	0.01404	0.01516	0.01560	0.01555	0.01599	0.01584	0.01547	0.01643	0.01756	0.01699	0.01703	0.01858	0.01877	0.01822	0.01896	0.01854	0.01981	0.02010	0.02022	0.02043	0.01954	0.02018	0.02072	0.02160	0.02225	0.02157	0.02310	0.02403	0.02427	0.02510	0.02502	0.02629	0.02550	0.02744	0.02852	0.02808	0.02926	0.03086	0.03279	0.03526	0.03481	0.03718	0.03831	0.03901	0.03991	0.03817	0.03879	0.04170	0.04215	0.04259	0.04345	0.04445	0.04574	0.04845	0.05048	0.04914	0.05154	0.05263	0.05520	0.05658	0.05514	0.05841	0.06041	0.06260	0.06498	0.06659	
&	0	0	0	0	0	0	0.00001	0	0	0	0.00001	0	0.00001	0.00001	0	0.00001	0	0	0	0	0.00001	0	0	0.00001	0.00001	0.00001	0.00001	0.00002	0	0.00003	0.00001	0.00003	0.00005	0.00002	0.00002	0.00004	0.00005	0.00012	0.00014	0.00031	0.00023	0.00031	0.00009	0.00009	0.00004	0.00010	0.00007	0.00005	0.00010	0.00009	0.00012	0.00017	0.00013	0.00012	0.00009	0.00019	0.00012	0.00013	0.00010	0.00010	0.00012	0.00012	0.00017	0.00010	0.00012	0.00018	0.00014	0.00014	0.00012	0.00009	0.00013	0.00011	0.00006	0.00004	0.00007	0	
D	0.07245	0.07091	0.07132	0.07187	0.07311	0.07323	0.06804	0.06972	0.07075	0.07382	0.07423	0.07425	0.07612	0.07681	0.07700	0.08053	0.08232	0.08189	0.08206	0.08285	0.08337	0.08466	0.08296	0.08306	0.08333	0.08535	0.08534	0.08329	0.08281	0.08467	0.08839	0.08767	0.08867	0.08946	0.09000	0.09098	0.09208	0.09036	0.09293	0.09332	0.09367	0.09400	0.09473	0.09240	0.09219	0.09253	0.09351	0.09227	0.09323	0.09226	0.09199	0.09406	0.09442	0.09354	0.09472	0.09398	0.09519	0.09656	0.09855	0.09942	0.09887	0.10077	0.10071	0.10063	0.10085	0.09957	0.09977	0.09988	0.10078	0.09976	0.09860	0.09898	0.09563	0.09640	0.09705	0.09377	
G	0.62668	0.59483	0.59400	0.59235	0.59127	0.59972	0.60869	0.60128	0.59624	0.58444	0.59627	0.58674	0.57819	0.57316	0.56968	0.56756	0.55579	0.55114	0.54782	0.54149	0.54053	0.52682	0.51568	0.51533	0.50904	0.50677	0.49372	0.48789	0.48424	0.47908	0.47780	0.46536	0.45367	0.44400	0.43964	0.43674	0.41896	0.41433	0.40113	0.39310	0.39252	0.37355	0.36942	0.35821	0.35386	0.35173	0.33401	0.31706	0.29915	0.28174	0.28244	0.26286	0.25801	0.25193	0.24308	0.24301	0.23075	0.22214	0.21730	0.21010	0.21024	0.19531	0.18523	0.17230	0.16429	0.16930	0.15075	0.13961	0.13278	0.12683	0.12946	0.11152	0.10135	0.09333	0.08336	0.10045	
(	0	0	0.00002	0.00007	0.00007	0.00006	0.00003	0.00004	0.00002	0.00003	0.00002	0.00001	0.00002	0.00003	0.00001	0.00005	0.00002	0.00004	0.00002	0.00006	0.00002	0.00003	0.00004	0.00002	0.00005	0.00010	0.00009	0.00012	0.00009	0.00006	0.00015	0.00010	0.00010	0.00013	0.00017	0.00020	0.00021	0.00029	0.00039	0.00066	0.00044	0.00046	0.00024	0.00028	0.00022	0.00025	0.00020	0.00036	0.00027	0.00030	0.00050	0.00048	0.00034	0.00035	0.00036	0.00049	0.00041	0.00041	0.00039	0.00038	0.00044	0.00038	0.00053	0.00030	0.00046	0.00067	0.00054	0.00039	0.00049	0.00036	0.00063	0.00047	0.00042	0.00041	0.00022	0	
$	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00001	0.00001	0	0	0	0	0.00002	0.00002	0.00002	0.00001	0.00001	0	0	0	0	0	0.00001	0	0.00002	0.00001	0	0.00001	0	0.00001	0	0	0.00001	0	0	0.00001	0.00001	0	0	0.00001	0	0	0	0.00001	0	0	0	0	0	
F	0.12376	0.12876	0.13022	0.13248	0.13372	0.13195	0.12479	0.12907	0.13044	0.13596	0.13745	0.13580	0.13857	0.13956	0.14100	0.14447	0.14625	0.14618	0.14679	0.14892	0.15130	0.15192	0.15310	0.15426	0.15332	0.15512	0.15543	0.15706	0.15842	0.15964	0.15900	0.16203	0.16421	0.16403	0.16442	0.16244	0.16453	0.16487	0.16848	0.16727	0.16493	0.16611	0.16781	0.16624	0.16713	0.16305	0.16400	0.16107	0.15801	0.15508	0.14960	0.14814	0.14942	0.14889	0.14716	0.14620	0.14539	0.14627	0.14579	0.14457	0.13978	0.13974	0.13836	0.13428	0.13093	0.12577	0.12219	0.11957	0.11707	0.11478	0.11426	0.10780	0.10417	0.10028	0.09234	0.09240	
:	0.00619	0.00929	0.00900	0.00864	0.00846	0.00793	0.00793	0.00848	0.00809	0.00874	0.00696	0.00786	0.00829	0.00857	0.00878	0.00767	0.00885	0.00896	0.00920	0.00982	0.00904	0.00928	0.01049	0.00995	0.01104	0.01016	0.01090	0.01075	0.01149	0.01103	0.01073	0.01089	0.01143	0.01187	0.01207	0.01197	0.01308	0.01318	0.01298	0.01346	0.01292	0.01458	0.01480	0.01468	0.01555	0.01535	0.01573	0.01725	0.01880	0.01947	0.01972	0.02089	0.02034	0.02185	0.02182	0.02110	0.02216	0.02234	0.02231	0.02307	0.02228	0.02351	0.02458	0.02498	0.02557	0.02570	0.02695	0.02698	0.02832	0.02860	0.02949	0.03016	0.03085	0.03232	0.03204	0.04167	
*	0	0.00015	0.00013	0.00014	0.00018	0.00012	0.00010	0.00006	0.00009	0.00009	0.00009	0.00008	0.00008	0.00009	0.00008	0.00006	0.00008	0.00009	0.00011	0.00009	0.00019	0.00011	0.00017	0.00014	0.00015	0.00028	0.00018	0.00024	0.00022	0.00017	0.00038	0.00027	0.00028	0.00029	0.00023	0.00046	0.00044	0.00042	0.00042	0.00044	0.00100	0.00093	0.00065	0.00068	0.00042	0.00073	0.00049	0.00039	0.00063	0.00055	0.00108	0.00081	0.00073	0.00070	0.00057	0.00092	0.00077	0.00065	0.00048	0.00057	0.00104	0.00065	0.00065	0.00073	0.00073	0.00095	0.00070	0.00054	0.00055	0.00057	0.00078	0.00058	0.00054	0.00044	0.00032	0	
-	0.00101	0.00207	0.00188	0.00185	0.00215	0.00172	0.00183	0.00165	0.00173	0.00164	0.00119	0.00147	0.00187	0.00181	0.00187	0.00134	0.00175	0.00196	0.00196	0.00185	0.00181	0.00197	0.00239	0.00231	0.00260	0.00227	0.00264	0.00255	0.00264	0.00290	0.00208	0.00250	0.00267	0.00320	0.00346	0.00231	0.00310	0.00348	0.00363	0.00373	0.00303	0.00341	0.00400	0.00407	0.00394	0.00301	0.00377	0.00485	0.00537	0.00596	0.00467	0.00637	0.00647	0.00657	0.00618	0.00471	0.00573	0.00650	0.00643	0.00640	0.00448	0.00597	0.00718	0.00709	0.00708	0.00574	0.00718	0.00739	0.00777	0.00765	0.00634	0.00784	0.00849	0.00776	0.00519	0	
0	0	0.00013	0.00015	0.00022	0.00019	0.00017	0.00016	0.00017	0.00007	0.00012	0.00009	0.00009	0.00009	0.00010	0.00007	0.00017	0.00010	0.00010	0.00009	0.00012	0.00013	0.00014	0.00013	0.00016	0.00015	0.00022	0.00022	0.00020	0.00020	0.00020	0.00023	0.00020	0.00023	0.00023	0.00024	0.00032	0.00030	0.00036	0.00037	0.00045	0.00064	0.00053	0.00061	0.00057	0.00036	0.00042	0.00032	0.00041	0.00047	0.00040	0.00056	0.00049	0.00042	0.00048	0.00039	0.00062	0.00056	0.00058	0.00044	0.00052	0.00065	0.00057	0.00044	0.00056	0.00055	0.00067	0.00062	0.00065	0.00055	0.00062	0.00064	0.00061	0.00066	0.00057	0.00057	0.00122	
C	0.01599	0.01546	0.01446	0.01407	0.01365	0.01178	0.01501	0.01472	0.01498	0.01564	0.01266	0.01389	0.01537	0.01513	0.01560	0.01372	0.01564	0.01658	0.01703	0.01722	0.01546	0.01744	0.01841	0.01910	0.01949	0.01791	0.02027	0.02273	0.02249	0.02321	0.02208	0.02306	0.02414	0.02543	0.02492	0.02511	0.02585	0.02769	0.02785	0.02791	0.02762	0.03019	0.03116	0.03248	0.03246	0.03355	0.03540	0.03753	0.03886	0.03930	0.03964	0.04188	0.04216	0.04297	0.04300	0.04368	0.04541	0.04509	0.04699	0.04631	0.04730	0.04983	0.05082	0.05245	0.05292	0.05429	0.05729	0.06089	0.06056	0.05998	0.06105	0.06565	0.06787	0.06862	0.07245	0.05462	
.	0.00031	0.00059	0.00052	0.00039	0.00052	0.00047	0.00037	0.00034	0.00033	0.00030	0.00033	0.00029	0.00030	0.00028	0.00022	0.00049	0.00034	0.00034	0.00030	0.00028	0.00044	0.00048	0.00034	0.00031	0.00033	0.00060	0.00057	0.00046	0.00026	0.00041	0.00066	0.00050	0.00047	0.00047	0.00041	0.00083	0.00086	0.00081	0.00057	0.00063	0.00125	0.00099	0.00073	0.00056	0.00045	0.00081	0.00077	0.00068	0.00050	0.00057	0.00124	0.00096	0.00075	0.00068	0.00061	0.00122	0.00090	0.00089	0.00064	0.00058	0.00116	0.00095	0.00072	0.00059	0.00061	0.00120	0.00093	0.00062	0.00057	0.00054	0.00122	0.00055	0.00042	0.00023	0.00022	0	
@	0.00325	0.00424	0.00391	0.00397	0.00338	0.00291	0.00368	0.00408	0.00415	0.00381	0.00295	0.00351	0.00367	0.00375	0.00367	0.00322	0.00348	0.00381	0.00389	0.00422	0.00314	0.00381	0.00461	0.00444	0.00477	0.00409	0.00483	0.00525	0.00506	0.00517	0.00492	0.00566	0.00560	0.00581	0.00593	0.00621	0.00712	0.00722	0.00683	0.00738	0.00687	0.00817	0.00776	0.00881	0.00894	0.00975	0.01038	0.01142	0.01278	0.01337	0.01373	0.01365	0.01480	0.01482	0.01600	0.01595	0.01670	0.01681	0.01673	0.01808	0.01725	0.01890	0.01872	0.02091	0.02170	0.02148	0.02416	0.02462	0.02574	0.02599	0.02510	0.02784	0.02976	0.03120	0.03349	0.02563	
;	0.00193	0.00220	0.00229	0.00246	0.00282	0.00284	0.00269	0.00240	0.00223	0.00225	0.00248	0.00254	0.00248	0.00217	0.00236	0.00264	0.00252	0.00229	0.00233	0.00229	0.00258	0.00254	0.00231	0.00239	0.00235	0.00253	0.00240	0.00221	0.00226	0.00240	0.00250	0.00214	0.00239	0.00244	0.00213	0.00248	0.00259	0.00225	0.00242	0.00251	0.00250	0.00231	0.00244	0.00268	0.00266	0.00259	0.00269	0.00314	0.00253	0.00300	0.00257	0.00300	0.00288	0.00306	0.00285	0.00294	0.00296	0.00326	0.00311	0.00293	0.00296	0.00306	0.00304	0.00331	0.00327	0.00290	0.00325	0.00343	0.00336	0.00351	0.00302	0.00309	0.00348	0.00316	0.00354	0.00343	
6	0.00044	0.00094	0.00100	0.00092	0.00146	0.00141	0.00125	0.00126	0.00105	0.00111	0.00116	0.00105	0.00114	0.00112	0.00099	0.00130	0.00123	0.00109	0.00103	0.00106	0.00141	0.00122	0.00122	0.00116	0.00106	0.00139	0.00129	0.00114	0.00115	0.00109	0.00162	0.00133	0.00117	0.00122	0.00124	0.00172	0.00148	0.00154	0.00129	0.00144	0.00145	0.00154	0.00152	0.00145	0.00138	0.00175	0.00154	0.00145	0.00154	0.00141	0.00199	0.00173	0.00166	0.00140	0.00146	0.00187	0.00165	0.00162	0.00146	0.00149	0.00189	0.00177	0.00152	0.00157	0.00153	0.00172	0.00187	0.00164	0.00148	0.00152	0.00199	0.00165	0.00143	0.00141	0.00144	0.00391	
A	0.01822	0.02112	0.02168	0.02107	0.02071	0.02059	0.02000	0.02043	0.02123	0.02080	0.02015	0.02093	0.02072	0.02152	0.02220	0.02118	0.02196	0.02268	0.02332	0.02276	0.02230	0.02401	0.02422	0.02446	0.02569	0.02433	0.02510	0.02569	0.02582	0.02543	0.02556	0.02603	0.02724	0.02724	0.02741	0.02851	0.02850	0.02941	0.03028	0.02948	0.03070	0.03079	0.03226	0.03264	0.03329	0.03314	0.03492	0.03667	0.03783	0.03895	0.03940	0.04107	0.04061	0.04171	0.04175	0.04163	0.04364	0.04441	0.04563	0.04558	0.04540	0.04769	0.04732	0.04974	0.05164	0.05141	0.05348	0.05443	0.05445	0.05618	0.05594	0.05818	0.06011	0.06047	0.06220	0.06324	
