/	0	141	169	180	196	72	106	74	98	87	77	79	74	83	54	91	69	96	82	67	85	84	114	102	97	152	128	140	138	135	165	162	164	140	158	362	785	1439	1550	2186	1579	1419	1995	1978	677	499	363	391	377	416	408	434	422	484	306	422	431	460	440	400	422	347	457	377	375	452	404	359	338	367	379	352	304	264	193	0	
=	10121	13146	14670	15676	13425	12910	13593	14612	14409	14016	12617	13720	14140	15086	14478	13946	14480	15071	15345	15484	15963	16063	16801	17533	18450	16021	17211	16997	17672	17804	16788	17706	18536	18930	19083	20910	23939	24003	23433	20444	19369	20120	21904	24099	27934	24132	25545	27223	27887	27999	26246	29213	30128	31628	28834	27862	29717	31863	32251	31760	31150	33046	33682	34757	35133	34801	36823	37233	37535	38221	38123	39003	39273	39923	39549	55545	
7	228	815	806	821	773	448	519	433	446	478	420	445	415	423	498	459	482	502	518	502	581	598	640	652	676	683	719	678	717	716	802	747	754	729	759	1839	2368	2819	2949	3295	1083	964	5966	6538	5963	2104	1966	2079	2090	2107	1368	1512	1576	1606	1396	1458	1381	1590	1576	1557	1435	1532	1576	1637	1518	1596	1575	1521	1568	1694	1572	1555	1554	1572	1596	1870	
,	43	154	245	393	360	340	407	447	342	283	407	393	342	396	342	453	379	367	416	379	676	482	608	656	711	833	715	752	786	812	944	871	932	880	889	1172	2634	7822	8773	18318	5052	5130	3269	3303	1635	1625	1554	1697	1833	1803	1982	2262	2650	2716	1950	2016	2094	2351	2264	2038	2082	2236	2245	2390	2318	2307	2544	2419	2421	2401	2200	2394	2310	2350	1387	0	
2	0	254	323	402	456	276	249	251	236	227	295	288	235	238	242	311	307	257	244	248	416	314	311	314	385	523	442	405	370	402	570	455	461	438	411	1089	1416	1954	1967	2203	1244	1028	3841	3752	1628	1285	991	1022	996	983	1056	1069	1078	1039	876	1142	1025	1077	1041	968	1127	1051	1056	975	951	1190	1035	967	1011	1035	1190	1087	997	997	1015	1784	
E	93402	91922	91957	90733	92259	91412	94213	93611	94659	97723	97510	99610	101825	101862	102491	100917	103631	105124	106214	107256	106143	109305	111921	112554	115194	115241	117561	121326	122727	126360	124952	126787	131433	131081	132422	126492	125523	128257	126985	133219	131712	134323	136181	139713	140630	141233	142936	149298	151689	152156	163624	170950	175311	177202	174473	174894	175919	178609	180032	180430	178492	177135	182323	183467	179223	179912	180571	177498	175730	178420	175292	172838	171434	170009	168826	135894	
1	0	143	189	250	302	207	208	198	178	187	173	164	151	139	139	167	165	155	156	159	200	206	212	204	246	322	327	281	246	285	382	336	321	274	320	753	1423	1916	1965	2204	2490	1991	3882	3771	1288	1009	672	708	710	692	799	748	766	774	599	772	744	678	690	654	799	698	657	634	591	789	705	638	584	640	666	577	524	551	541	1345	
<	279	955	874	802	721	749	915	1060	973	991	674	738	766	805	824	724	827	893	867	919	870	953	983	1106	1162	985	1070	1139	1230	1205	1117	1146	1258	1224	1236	2787	3995	3030	2927	2192	1277	1439	3110	3449	7996	3375	3218	3730	3795	3885	2280	2653	2836	3028	2842	2622	2765	3167	3318	3291	2563	2945	3295	3488	3379	2993	3350	3270	3558	3944	3037	3337	3436	3439	3695	2702	
>	2551	4211	3869	3774	4054	4247	3987	4063	4134	3943	4349	4037	4009	4096	4021	4526	4379	4333	4308	4267	4786	4657	4729	4667	4792	4847	4786	4825	4842	4944	4948	4904	5012	4934	4980	10115	12973	8582	8031	5304	5390	5595	6770	7131	11467	12186	10560	11408	11600	11459	7566	8454	8848	8818	8963	8578	9094	9667	9867	10193	8382	9120	9746	10122	9935	8695	9810	10012	10267	10918	8816	9821	10002	9800	10084	7618	
B	16286	21682	22900	24488	22164	21202	23023	23415	23562	23601	22550	24161	24366	25988	25212	24559	25872	26283	27134	28056	28809	29348	31112	32163	34853	32751	34471	36181	36460	38607	38129	38212	41797	41399	42944	48408	46097	45511	44034	47312	46927	48167	49829	53065	55688	60500	61384	66759	67516	67592	67723	73548	76459	78540	74463	74760	76722	81088	81712	82017	81558	83127	86177	88078	88086	88575	90087	90107	91031	94516	93653	94721	95365	96291	97601	92321	
?	12266	15798	17419	18373	16166	15832	16248	17196	17293	16831	15935	17002	17155	18501	17840	17441	18145	18298	19164	19510	20148	20105	20896	21638	22647	20929	21612	21667	22427	22781	22087	22946	24007	24436	24954	28620	33160	31405	30178	26849	26149	27118	28538	30505	37930	35488	35676	38519	39377	39876	36586	40514	42182	43836	41661	40621	42851	46041	46379	46554	45294	47982	49075	51156	51379	52165	53860	54359	56015	58223	57020	59607	60574	62855	64413	68888	
&	0	0	0	0	6	3	10	6	7	4	7	5	6	7	6	10	6	8	4	6	12	14	13	12	11	27	24	18	32	36	46	46	36	28	35	94	613	1818	1959	3368	3306	3857	919	765	114	163	82	101	100	89	152	189	180	167	109	170	160	167	170	132	156	136	143	140	104	174	162	140	127	122	137	137	81	103	56	0	
D	78054	74667	78338	80490	78358	78109	75661	76965	77904	80328	81735	80834	83148	83709	84461	87829	88040	89035	88474	90260	92005	90871	89776	90547	89867	91396	91812	89925	91109	90183	93052	94805	95356	97082	94358	97145	89014	90845	88534	89716	90099	91490	88271	90949	89633	96346	102475	99846	99710	101246	97104	96006	95096	95356	97587	97533	98696	97871	98012	98737	99383	100360	99805	100007	100878	100011	100077	101178	99809	98651	99144	98116	98577	97691	96961	92006	
