/	0	82	102	111	124	29	33	26	39	46	19	23	21	28	13	21	16	23	25	20	41	31	49	35	41	75	61	69	61	54	83	67	83	78	79	256	681	1337	1451	2079	1459	1318	1867	1862	574	350	237	264	237	274	190	219	215	263	156	213	209	243	251	212	216	190	255	206	187	238	211	206	186	191	208	181	165	148	99	0	
=	4219	5615	5857	6774	5859	5841	6318	6100	6117	6593	5649	6376	6480	7296	6708	6306	6603	6955	7100	7020	7979	7424	7819	8219	9100	7366	7790	7906	8456	8252	7591	8172	8517	8821	8895	10853	13095	12610	12336	8886	8138	8736	10234	11378	15807	12216	12710	13023	13337	13812	12194	14744	13901	14790	13802	13017	14198	15570	15290	15257	14958	16105	16223	16641	16810	16683	17480	17878	18330	18410	17981	18974	19152	19671	19195	27777	
7	82	545	538	535	490	219	250	209	203	219	172	174	146	145	166	181	219	208	220	215	289	250	320	292	332	349	370	294	348	357	431	375	411	376	414	1423	1947	2402	2553	2826	617	533	5499	6017	5458	1601	1412	1488	1518	1530	678	801	802	863	775	801	704	785	816	802	779	806	903	864	752	893	857	886	881	1011	840	867	853	878	860	1145	
,	5	23	36	98	116	57	90	69	51	73	83	86	74	103	78	101	98	77	99	90	324	158	213	235	335	360	290	279	347	327	365	378	374	335	323	559	1904	7063	8136	17630	4207	4398	2519	2444	844	751	630	627	659	729	739	1109	1008	1099	818	772	868	1048	899	809	858	1030	944	961	972	999	1040	1058	1051	1084	930	1084	1011	1079	564	0	
2	0	147	167	247	247	93	90	82	72	85	93	79	56	62	79	90	103	81	82	66	170	117	124	132	181	271	211	169	160	179	271	215	211	230	200	704	1101	1675	1677	1931	824	706	3513	3416	1310	851	617	626	615	599	526	571	493	526	457	592	468	552	534	499	590	595	582	507	449	602	558	511	556	534	657	598	555	561	562	1040	
E	43329	42854	43372	42409	42611	42148	43347	43875	44273	45322	46089	46707	47883	47479	48346	48680	49979	50784	51329	51974	52063	54379	56280	56488	58520	58230	59064	60084	60149	62286	61203	61866	65485	65718	66483	58494	56153	58519	57658	60084	59070	62384	62288	64008	64763	66556	67743	71862	73003	73220	82836	86457	88420	92106	91793	89961	89163	90609	93523	93821	92076	90200	94317	94718	91742	92598	94365	92779	90559	92670	89622	88401	87808	87078	86758	68079	
1	0	69	96	131	179	93	94	81	88	82	53	55	50	51	38	56	65	51	53	56	94	86	80	68	101	166	149	133	96	129	178	155	158	120	161	496	1195	1742	1793	1995	2214	1758	3659	3529	1069	694	425	439	452	436	382	388	371	395	328	392	388	348	338	331	442	369	341	318	278	429	388	350	313	341	367	332	289	318	294	845	
<	118	481	472	378	362	430	509	578	543	574	319	347	357	382	368	330	407	424	426	434	447	508	516	563	655	507	567	563	619	600	635	607	685	673	678	2196	3312	2319	2261	1484	634	719	2281	2541	7039	2588	2316	2683	2784	2799	1167	1346	1534	1613	1608	1387	1353	1694	1776	1748	1351	1592	1817	1837	1802	1615	1862	1846	1964	2174	1637	1925	1933	1973	2065	1619	
>	1053	1925	1801	1783	1866	1995	1825	1876	1874	1772	2031	1890	1852	1849	1820	2336	2171	2098	2074	2091	2376	2267	2370	2387	2560	2375	2365	2323	2298	2413	2599	2459	2657	2449	2550	7496	10283	5844	5314	2495	2530	2651	3545	3823	8338	8949	7142	7856	7907	7802	3865	4219	4529	4604	4691	4482	4583	4825	5077	5217	4474	4799	5170	5316	5139	4678	5341	5367	5415	5676	4860	5517	5442	5410	5581	4269	
B	7421	9940	10211	10940	10057	9531	10556	9921	10312	10995	10586	11391	11432	12354	12099	11524	12559	12492	13150	13432	14801	14570	15887	16284	18840	16729	17624	17726	18087	19238	18442	18119	20984	20514	21686	25935	22598	21395	20586	21065	20982	22579	23039	24132	27449	32342	32272	34410	34883	34848	33301	37407	37261	40145	38254	37668	37989	40821	41262	41571	41089	42101	43722	44388	44080	44772	45781	46459	46192	48009	46772	47615	47971	48801	49189	47136	
