/	0	0.00016	0.00020	0.00022	0.00025	0.00006	0.00007	0.00005	0.00008	0.00009	0.00004	0.00005	0.00004	0.00006	0.00003	0.00004	0.00003	0.00005	0.00005	0.00004	0.00008	0.00006	0.00010	0.00007	0.00008	0.00015	0.00012	0.00014	0.00012	0.00011	0.00017	0.00013	0.00017	0.00016	0.00016	0.00051	0.00136	0.00267	0.00290	0.00416	0.00292	0.00264	0.00373	0.00372	0.00115	0.00070	0.00047	0.00053	0.00047	0.00055	0.00038	0.00044	0.00043	0.00053	0.00031	0.00043	0.00042	0.00049	0.00050	0.00042	0.00043	0.00038	0.00051	0.00041	0.00037	0.00048	0.00042	0.00041	0.00037	0.00038	0.00042	0.00036	0.00033	0.00030	0.00020	0	
=	0.00844	0.01123	0.01171	0.01355	0.01172	0.01168	0.01264	0.01220	0.01223	0.01319	0.01130	0.01275	0.01296	0.01459	0.01342	0.01261	0.01321	0.01391	0.01420	0.01404	0.01596	0.01485	0.01564	0.01644	0.01820	0.01473	0.01558	0.01581	0.01691	0.01650	0.01518	0.01634	0.01703	0.01764	0.01779	0.02171	0.02619	0.02522	0.02467	0.01777	0.01628	0.01747	0.02047	0.02276	0.03161	0.02443	0.02542	0.02605	0.02667	0.02762	0.02439	0.02949	0.02780	0.02958	0.02760	0.02603	0.02840	0.03114	0.03058	0.03051	0.02992	0.03221	0.03245	0.03328	0.03362	0.03337	0.03496	0.03576	0.03666	0.03682	0.03596	0.03795	0.03830	0.03934	0.03839	0.05555	
7	0.00016	0.00109	0.00108	0.00107	0.00098	0.00044	0.00050	0.00042	0.00041	0.00044	0.00034	0.00035	0.00029	0.00029	0.00033	0.00036	0.00044	0.00042	0.00044	0.00043	0.00058	0.00050	0.00064	0.00058	0.00066	0.00070	0.00074	0.00059	0.00070	0.00071	0.00086	0.00075	0.00082	0.00075	0.00083	0.00285	0.00389	0.00480	0.00511	0.00565	0.00123	0.00107	0.01100	0.01203	0.01092	0.00320	0.00282	0.00298	0.00304	0.00306	0.00136	0.00160	0.00160	0.00173	0.00155	0.00160	0.00141	0.00157	0.00163	0.00160	0.00156	0.00161	0.00181	0.00173	0.00150	0.00179	0.00171	0.00177	0.00176	0.00202	0.00168	0.00173	0.00171	0.00176	0.00172	0.00229	
,	0.00001	0.00005	0.00007	0.00020	0.00023	0.00011	0.00018	0.00014	0.00010	0.00015	0.00017	0.00017	0.00015	0.00021	0.00016	0.00020	0.00020	0.00015	0.00020	0.00018	0.00065	0.00032	0.00043	0.00047	0.00067	0.00072	0.00058	0.00056	0.00069	0.00065	0.00073	0.00076	0.00075	0.00067	0.00065	0.00112	0.00381	0.01413	0.01627	0.03526	0.00841	0.00880	0.00504	0.00489	0.00169	0.00150	0.00126	0.00125	0.00132	0.00146	0.00148	0.00222	0.00202	0.00220	0.00164	0.00154	0.00174	0.00210	0.00180	0.00162	0.00172	0.00206	0.00189	0.00192	0.00194	0.00200	0.00208	0.00212	0.00210	0.00217	0.00186	0.00217	0.00202	0.00216	0.00113	0	
2	0	0.00029	0.00033	0.00049	0.00049	0.00019	0.00018	0.00016	0.00014	0.00017	0.00019	0.00016	0.00011	0.00012	0.00016	0.00018	0.00021	0.00016	0.00016	0.00013	0.00034	0.00023	0.00025	0.00026	0.00036	0.00054	0.00042	0.00034	0.00032	0.00036	0.00054	0.00043	0.00042	0.00046	0.00040	0.00141	0.00220	0.00335	0.00335	0.00386	0.00165	0.00141	0.00703	0.00683	0.00262	0.00170	0.00123	0.00125	0.00123	0.00120	0.00105	0.00114	0.00099	0.00105	0.00091	0.00118	0.00094	0.00110	0.00107	0.00100	0.00118	0.00119	0.00116	0.00101	0.00090	0.00120	0.00112	0.00102	0.00111	0.00107	0.00131	0.00120	0.00111	0.00112	0.00112	0.00208	
E	0.08666	0.08571	0.08674	0.08482	0.08522	0.08430	0.08669	0.08775	0.08855	0.09064	0.09218	0.09341	0.09577	0.09496	0.09669	0.09736	0.09996	0.10157	0.10266	0.10395	0.10413	0.10876	0.11256	0.11298	0.11704	0.11646	0.11813	0.12017	0.12030	0.12457	0.12241	0.12373	0.13097	0.13144	0.13297	0.11699	0.11231	0.11704	0.11532	0.12017	0.11814	0.12477	0.12458	0.12802	0.12953	0.13311	0.13549	0.14372	0.14601	0.14644	0.16567	0.17291	0.17684	0.18421	0.18359	0.17992	0.17833	0.18122	0.18705	0.18764	0.18415	0.18040	0.18863	0.18944	0.18348	0.18520	0.18873	0.18556	0.18112	0.18534	0.17924	0.17680	0.17562	0.17416	0.17352	0.13616	
1	0	0.00014	0.00019	0.00026	0.00036	0.00019	0.00019	0.00016	0.00018	0.00016	0.00011	0.00011	0.00010	0.00010	0.00008	0.00011	0.00013	0.00010	0.00011	0.00011	0.00019	0.00017	0.00016	0.00014	0.00020	0.00033	0.00030	0.00027	0.00019	0.00026	0.00036	0.00031	0.00032	0.00024	0.00032	0.00099	0.00239	0.00348	0.00359	0.00399	0.00443	0.00352	0.00732	0.00706	0.00214	0.00139	0.00085	0.00088	0.00090	0.00087	0.00076	0.00078	0.00074	0.00079	0.00066	0.00078	0.00078	0.00070	0.00068	0.00066	0.00088	0.00074	0.00068	0.00064	0.00056	0.00086	0.00078	0.00070	0.00063	0.00068	0.00073	0.00066	0.00058	0.00064	0.00059	0.00169	
<	0.00024	0.00096	0.00094	0.00076	0.00072	0.00086	0.00102	0.00116	0.00109	0.00115	0.00064	0.00069	0.00071	0.00076	0.00074	0.00066	0.00081	0.00085	0.00085	0.00087	0.00089	0.00102	0.00103	0.00113	0.00131	0.00101	0.00113	0.00113	0.00124	0.00120	0.00127	0.00121	0.00137	0.00135	0.00136	0.00439	0.00662	0.00464	0.00452	0.00297	0.00127	0.00144	0.00456	0.00508	0.01408	0.00518	0.00463	0.00537	0.00557	0.00560	0.00233	0.00269	0.00307	0.00323	0.00322	0.00277	0.00271	0.00339	0.00355	0.00350	0.00270	0.00318	0.00363	0.00367	0.00360	0.00323	0.00372	0.00369	0.00393	0.00435	0.00327	0.00385	0.00387	0.00395	0.00413	0.00324	
>	0.00211	0.00385	0.00360	0.00357	0.00373	0.00399	0.00365	0.00375	0.00375	0.00354	0.00406	0.00378	0.00370	0.00370	0.00364	0.00467	0.00434	0.00420	0.00415	0.00418	0.00475	0.00453	0.00474	0.00477	0.00512	0.00475	0.00473	0.00465	0.00460	0.00483	0.00520	0.00492	0.00531	0.00490	0.00510	0.01499	0.02057	0.01169	0.01063	0.00499	0.00506	0.00530	0.00709	0.00765	0.01668	0.01790	0.01428	0.01571	0.01581	0.01560	0.00773	0.00844	0.00906	0.00921	0.00938	0.00896	0.00917	0.00965	0.01015	0.01043	0.00895	0.00960	0.01034	0.01063	0.01028	0.00936	0.01068	0.01073	0.01083	0.01135	0.00972	0.01103	0.01088	0.01082	0.01116	0.00854	
B	0.01484	0.01988	0.02042	0.02188	0.02011	0.01906	0.02111	0.01984	0.02062	0.02199	0.02117	0.02278	0.02286	0.02471	0.02420	0.02305	0.02512	0.02498	0.02630	0.02686	0.02960	0.02914	0.03177	0.03257	0.03768	0.03346	0.03525	0.03545	0.03617	0.03848	0.03688	0.03624	0.04197	0.04103	0.04337	0.05187	0.04520	0.04279	0.04117	0.04213	0.04196	0.04516	0.04608	0.04826	0.05490	0.06468	0.06454	0.06882	0.06977	0.06970	0.06660	0.07481	0.07452	0.08029	0.07651	0.07534	0.07598	0.08164	0.08252	0.08314	0.08218	0.08420	0.08744	0.08878	0.08816	0.08954	0.09156	0.09292	0.09238	0.09602	0.09354	0.09523	0.09594	0.09760	0.09838	0.09427	
